method,p,n,ratio,trial,std,lower,upper,theta,width
PPI,20,2,0.1,0,0.1,18.59576075829173,18.595760758292027,-2.178498406883067,2.984279490192421e-13
PPI,20,2,0.1,1,0.1,33.878146808906855,33.87818501469551,-2.178498406883067,3.8205788655432116e-05
PPI,20,2,0.1,2,0.1,15.852105533393107,15.852105533395669,-2.178498406883067,2.561506562415161e-12
PPI,20,2,0.1,3,0.1,10.893944938977386,10.89398981454176,-2.178498406883067,4.487556437382523e-05
PPI,20,2,0.1,4,0.1,-10.66766638534458,-10.667666385343148,-2.178498406883067,1.4317436125566019e-12
PPI,20,2,0.1,5,0.1,21.22489372332115,21.224893723321504,-2.178498406883067,3.552713678800501e-13
PPI,20,2,0.1,6,0.1,,,-2.178498406883067,
PPI,20,2,0.1,7,0.1,7.646200146680835,7.6462001466813,-2.178498406883067,4.654054919228656e-13
PPI,20,2,0.1,8,0.1,-0.16476392511407334,-0.16476392511406301,-2.178498406883067,1.0325074129013956e-14
PPI,20,2,0.1,9,0.1,,,-2.178498406883067,
PPI,20,2,0.1,10,0.1,,,-2.178498406883067,
PPI,20,2,0.1,11,0.1,9.589317438192571,9.589317438192664,-2.178498406883067,9.237055564881302e-14
PPI,20,2,0.1,12,0.1,8.101102037474085,8.10111101971302,-2.178498406883067,8.982238934862607e-06
PPI,20,2,0.1,13,0.1,23.505787582672237,23.5057875826738,-2.178498406883067,1.5631940186722204e-12
PPI,20,2,0.1,14,0.1,,,-2.178498406883067,
PPI,20,2,0.1,15,0.1,,,-2.178498406883067,
PPI,20,2,0.1,16,0.1,-2.7850307269500667,-2.7850307269500383,-2.178498406883067,2.842170943040401e-14
PPI,20,2,0.1,17,0.1,-18.246733343743106,-18.246733343743077,-2.178498406883067,2.842170943040401e-14
PPI,20,2,0.1,18,0.1,3.173919884153172,3.173919884153238,-2.178498406883067,6.572520305780927e-14
PPI,20,2,0.1,19,0.1,,,-2.178498406883067,
PPI,20,2,0.1,20,0.1,14.920712221889723,14.920712221891652,-2.178498406883067,1.929123527588672e-12
PPI,20,2,0.1,21,0.1,12.676512018399803,12.676608155489449,-2.178498406883067,9.613708964550938e-05
PPI,20,2,0.1,22,0.1,11.961417543346576,11.961417543347254,-2.178498406883067,6.785683126508957e-13
PPI,20,2,0.1,23,0.1,-3.075841658009066,-3.075841658008152,-2.178498406883067,9.139355938714289e-13
PPI,20,2,0.1,24,0.1,13.447748332615156,13.447841817812321,-2.178498406883067,9.348519716567694e-05
PPI,20,2,0.1,25,0.1,0.5622907452307174,0.5622909411001081,-2.178498406883067,1.958693907067044e-07
PPI,20,2,0.1,26,0.1,-2.6997544673475726,-2.699719901464251,-2.178498406883067,3.456588332184651e-05
PPI,20,2,0.1,27,0.1,,,-2.178498406883067,
PPI,20,2,0.1,28,0.1,10.383382047271587,10.383393233094091,-2.178498406883067,1.1185822504700127e-05
PPI,20,2,0.1,29,0.1,11.30906062495332,11.309060624953377,-2.178498406883067,5.684341886080802e-14
PPI,20,2,0.1,0,0.5,1.6545235235091587,1.654615968809192,-2.178498406883067,9.244530003327256e-05
PPI,20,2,0.1,1,0.5,4.832984491678579,4.8329844916805085,-2.178498406883067,1.929123527588672e-12
PPI,20,2,0.1,2,0.5,,,-2.178498406883067,
PPI,20,2,0.1,3,0.5,,,-2.178498406883067,
PPI,20,2,0.1,4,0.5,,,-2.178498406883067,
PPI,20,2,0.1,5,0.5,-11.86171538231081,-11.861715382310779,-2.178498406883067,3.197442310920451e-14
PPI,20,2,0.1,6,0.5,,,-2.178498406883067,
PPI,20,2,0.1,7,0.5,,,-2.178498406883067,
PPI,20,2,0.1,8,0.5,1.9722044956751605,1.972204495676516,-2.178498406883067,1.3553602684623911e-12
PPI,20,2,0.1,9,0.5,2.157357995186393,2.157357995186474,-2.178498406883067,8.08242361927114e-14
PPI,20,2,0.1,10,0.5,23.73532157493397,23.73532157493505,-2.178498406883067,1.0800249583553523e-12
PPI,20,2,0.1,11,0.5,7.72810903765633,7.728125711504943,-2.178498406883067,1.6673848612924758e-05
PPI,20,2,0.1,12,0.5,,,-2.178498406883067,
PPI,20,2,0.1,13,0.5,2.85557304582878,2.8555753783199376,-2.178498406883067,2.3324911575528517e-06
PPI,20,2,0.1,14,0.5,-5.636036426647798,-5.636035049799065,-2.178498406883067,1.3768487328036372e-06
PPI,20,2,0.1,15,0.5,-7.245281351136686,-7.245281351136487,-2.178498406883067,1.9895196601282805e-13
PPI,20,2,0.1,16,0.5,-5.9082359182083986,-5.908235918208365,-2.178498406883067,3.375077994860476e-14
PPI,20,2,0.1,17,0.5,,,-2.178498406883067,
PPI,20,2,0.1,18,0.5,-10.504180835613967,-10.504180835613889,-2.178498406883067,7.815970093361102e-14
PPI,20,2,0.1,19,0.5,,,-2.178498406883067,
PPI,20,2,0.1,20,0.5,-2.7855149725144464,-2.785503309317406,-2.178498406883067,1.1663197040157058e-05
