method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,2000,0.4954346945191363,0.5058433156238192,2,0.0,0.1,True,6.401017198906426e-07,,0.010408621104682936
Tuned PPI,2000,0.49626668096946897,0.5035759698595758,2,0.0,0.1,True,1.0646418104967198e-06,0.059227501951766015,0.007309288890106791
Classical,2000,0.49615298994789314,0.5035992960514584,2,0.0,0.1,True,1.2998616311106073e-06,,0.007446306103565226
PPI,2000,0.497197103820126,0.5074049683357893,3,0.0,0.1,True,3.248789587477997e-06,,0.0102078645156633
Tuned PPI,2000,0.4970143515965016,0.5045145196248464,3,0.0,0.1,True,3.0979262828354955e-07,0.07188967907506802,0.0075001680283448
Classical,2000,0.4968626392034604,0.5044281876562012,3,0.0,0.1,True,2.1515489507488143e-07,,0.007565548452740822
PPI,2000,0.49384357073724566,0.5048890444224612,4,0.0,0.1,True,5.295386509481431e-06,,0.011045473685215523
Tuned PPI,2000,0.4970004041016088,0.5048258382160605,4,0.0,0.1,True,2.614461165267411e-06,0.015591089734891499,0.007825434114451746
Classical,2000,0.49720799918629344,0.5046672400656,4,0.0,0.1,True,2.600903969965411e-06,,0.007459240879306606
PPI,2000,0.4970074302901839,0.5076068038765424,5,0.0,0.1,True,1.7799896958788626e-05,,0.01059937358635854
Tuned PPI,2000,0.4970478684602338,0.5043465668597925,5,0.0,0.1,True,3.4933395101929044e-07,0.020688771033639676,0.007298698399558712
Classical,2000,0.49728001351587653,0.5040464008531557,5,0.0,0.1,True,3.922187786326264e-07,,0.006766387337279134
PPI,2000,0.49442795965760183,0.5054600596755549,6,0.0,0.1,True,4.092953338388095e-05,,0.011032100017953017
Tuned PPI,2000,0.49715623067071457,0.5045001087504278,6,0.0,0.1,True,7.358528608741182e-06,0.0,0.007343878079713262
Classical,2000,0.4971571487702513,0.5044991906508911,6,0.0,0.1,True,7.358528608741182e-06,,0.007342041880639805
PPI,2000,0.49198241479149984,0.5019050684937235,7,0.0,0.1,True,6.076943583887424e-06,,0.009922653702223672
