method,p,n,trial,std,lam,theta,error,error_max,error_min
PPI,50,100,9,1.0,1.0,-0.1508618590942927,0.012959021608799148,0.06724638270498585,9.067947442213361e-07
Classical,50,100,9,1.0,,-0.1508618590942927,0.012959021608799172,0.06724638270498597,9.067947442166844e-07
PPI,50,100,10,1.0,1.0,-0.1508618590942927,0.026967119964555586,0.20235677479308975,1.1866049711321393e-05
Classical,50,100,10,1.0,,-0.1508618590942927,0.026967119964555634,0.20235677479309055,1.1866049711309153e-05
PPI,50,100,11,1.0,1.0,-0.1508618590942927,0.012658125794720863,0.08315022334658327,2.0701203500451398e-05
Classical,50,100,11,1.0,,-0.1508618590942927,0.012658125794720863,0.08315022334658212,2.0701203500447356e-05
PPI,50,100,12,1.0,1.0,-0.1508618590942927,0.022876367187165264,0.11093629318057967,1.3248102732421473e-06
Classical,50,100,12,1.0,,-0.1508618590942927,0.022876367187165257,0.11093629318058089,1.3248102732458531e-06
PPI,50,100,13,1.0,1.0,-0.1508618590942927,0.030257409742997513,0.20338449568495967,1.8379395649138155e-05
Classical,50,100,13,1.0,,-0.1508618590942927,0.03025740974299748,0.20338449568495826,1.837939564915529e-05
PPI,50,100,14,1.0,1.0,-0.1508618590942927,0.016714684600437305,0.07896236856899934,5.370685236530884e-06
Classical,50,100,14,1.0,,-0.1508618590942927,0.016714684600437256,0.07896236856899971,5.370685236525353e-06
PPI,50,100,15,1.0,1.0,-0.1508618590942927,0.024230873931873113,0.13670720791980884,1.002384122819691e-05
Classical,50,100,15,1.0,,-0.1508618590942927,0.024230873931872957,0.13670720791980695,1.0023841228227841e-05
PPI,50,100,16,1.0,1.0,-0.1508618590942927,0.012922240400945497,0.06803243543159221,2.5876587389140106e-05
Classical,50,100,16,1.0,,-0.1508618590942927,0.01292224040094544,0.06803243543159106,2.587658738914999e-05
PPI,50,100,17,1.0,1.0,-0.1508618590942927,0.01337980298119018,0.07396064229831244,1.0977787677029955e-05
Classical,50,100,17,1.0,,-0.1508618590942927,0.01337980298119021,0.07396064229831283,1.097778767703106e-05
PPI,50,100,18,1.0,1.0,-0.1508618590942927,0.016333911263632473,0.15094234767577078,1.0269373958303952e-06
Classical,50,100,18,1.0,,-0.1508618590942927,0.016333911263632463,0.15094234767577117,1.0269373958252198e-06
PPI,50,100,19,1.0,1.0,-0.1508618590942927,0.02137116493543248,0.1128443631110827,7.523824489996545e-08
Classical,50,100,19,1.0,,-0.1508618590942927,0.02137116493543229,0.11284436311108374,7.523824490026999e-08
PPI,50,100,20,1.0,1.0,-0.1508618590942927,0.015351956145565773,0.1063580101937425,5.841751192677757e-06
Classical,50,100,20,1.0,,-0.1508618590942927,0.015351956145565686,0.10635801019374229,5.84175119266917e-06
PPI,50,100,21,1.0,1.0,-0.1508618590942927,0.015718760988696158,0.09039642283703615,3.556956101919914e-06
Classical,50,100,21,1.0,,-0.1508618590942927,0.01571876098869612,0.09039642283703549,3.5569561019144698e-06
PPI,50,100,22,1.0,1.0,-0.1508618590942927,0.029952813795047762,0.2049098494764135,5.65688011913515e-07
Classical,50,100,22,1.0,,-0.1508618590942927,0.029952813795047727,0.20490984947641178,5.65688011912012e-07
PPI,50,100,23,1.0,1.0,-0.1508618590942927,0.03279133855770867,0.13394560347930634,9.326867678402454e-09
Classical,50,100,23,1.0,,-0.1508618590942927,0.032791338557708605,0.1339456034793078,9.326867678606173e-09
PPI,50,100,24,1.0,1.0,-0.1508618590942927,0.02010235456567254,0.21190038508098394,0.00011841120940515137
Classical,50,100,24,1.0,,-0.1508618590942927,0.020102354565672543,0.2119003850809826,0.00011841120940515016
PPI,50,100,25,1.0,1.0,-0.1508618590942927,0.03002100493564261,0.25951681205665433,5.488607068861795e-06
Classical,50,100,25,1.0,,-0.1508618590942927,0.03002100493564264,0.25951681205665883,5.488607068857374e-06
PPI,50,100,26,1.0,1.0,-0.1508618590942927,0.020765737903273823,0.11926338674716946,0.00020352872751198974
Classical,50,100,26,1.0,,-0.1508618590942927,0.02076573790327377,0.119263386747171,0.0002035287275120056
PPI,50,100,27,1.0,1.0,-0.1508618590942927,0.021043189656156844,0.1559569678750171,9.773956637653572e-06
Classical,50,100,27,1.0,,-0.1508618590942927,0.021043189656156792,0.15595696787501653,9.773956637659125e-06
PPI,50,100,28,1.0,1.0,-0.1508618590942927,0.018333348796397683,0.12494749038017319,1.3255765692206375e-05
Classical,50,100,28,1.0,,-0.1508618590942927,0.01833334879639759,0.12494749038017343,1.3255765692195057e-05
PPI,50,100,29,1.0,1.0,-0.1508618590942927,0.020401881693129974,0.20043051836427675,2.3958633355450165e-06
Classical,50,100,29,1.0,,-0.1508618590942927,0.020401881693129953,0.2004305183642768,2.3958633355470786e-06
PPI,100,100,0,1.0,1.0,0.013463927799323268,1.0641811196721127,6.27631720252254,0.00010780249805881374
Classical,100,100,0,1.0,,0.013463927799323268,1.0641811196721305,6.2763172025226375,0.00010780249805903737
PPI,100,100,1,1.0,1.0,0.013463927799323268,7.946559051989309,77.21252891923824,0.0033493281160515923
Classical,100,100,1,1.0,,0.013463927799323268,7.9465590519893725,77.21252891923892,0.003349328116051695
PPI,100,100,2,1.0,1.0,0.013463927799323268,9.900519613405836,92.97801151572955,0.0006547331205515175
Classical,100,100,2,1.0,,0.013463927799323268,9.90051961340588,92.97801151572989,0.000654733120551433
PPI,100,100,3,1.0,1.0,0.013463927799323268,4.907214118591334,25.437097203486562,0.0003598839600139735
Classical,100,100,3,1.0,,0.013463927799323268,4.907214118591338,25.437097203486605,0.0003598839600135818
PPI,100,100,4,1.0,1.0,0.013463927799323268,16.07918254156904,101.4449609394694,0.000629091061130564
Classical,100,100,4,1.0,,0.013463927799323268,16.07918254156904,101.44496093946944,0.0006290910611307854
PPI,100,100,5,1.0,1.0,0.013463927799323268,0.8516296286227621,5.741835406452179,1.772706741706271e-05
Classical,100,100,5,1.0,,0.013463927799323268,0.8516296286227876,5.741835406452468,1.7727067417117402e-05
PPI,100,100,6,1.0,1.0,0.013463927799323268,2.8578083889358505,11.258770584287287,0.002973560089344489
Classical,100,100,6,1.0,,0.013463927799323268,2.857808388935811,11.258770584287058,0.0029735600893467167
PPI,100,100,7,1.0,1.0,0.013463927799323268,0.8065276972155152,8.728466165617846,3.025662396201597e-06
Classical,100,100,7,1.0,,0.013463927799323268,0.8065276972155219,8.728466165617862,3.0256623962183016e-06
PPI,100,100,8,1.0,1.0,0.013463927799323268,409.97941761834494,4879.6165627988275,1.1082418147299453
Classical,100,100,8,1.0,,0.013463927799323268,409.979417618351,4879.616562798907,1.1082418147299475
PPI,100,100,9,1.0,1.0,0.013463927799323268,2.886368621127618,23.124626772792805,0.00016924631851371368
Classical,100,100,9,1.0,,0.013463927799323268,2.8863686211276343,23.124626772792944,0.00016924631851339593
PPI,100,100,10,1.0,1.0,0.013463927799323268,2.90626516481964,22.340232437139075,1.6197634667570645e-05
Classical,100,100,10,1.0,,0.013463927799323268,2.906265164819617,22.340232437138884,1.6197634667585614e-05
PPI,100,100,11,1.0,1.0,0.013463927799323268,3.806811667609048,28.70267545612924,0.00010654142705387822
Classical,100,100,11,1.0,,0.013463927799323268,3.8068116676090415,28.702675456129153,0.00010654142705376017
