method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
Classical,5000,0.49862453098043275,0.5908802687120913,7,0.0,0.01,True,0.001484599138357203,,0.09225573773165857
PPI,5000,0.4182343536748187,0.512653928625581,8,0.0,0.01,True,0.0009882780284377734,,0.09441957495076231
Tuned PPI,5000,0.418294712799777,0.5127002443408654,8,0.0,0.01,True,0.00098412202508366,0.09147579420213495,0.09440553154108838
Classical,5000,0.4180781065500907,0.5129275912683127,8,0.0,0.01,True,0.0009837041112249318,,0.09484948471822197
PPI,5000,0.4510031372691243,0.5436071537784852,9,0.0,0.01,True,0.00013979517386563097,,0.09260401650936095
Tuned PPI,5000,0.4519701165217513,0.5423747787827986,9,0.0,0.01,True,0.00014255900816837817,0.0,0.09040466226104732
Classical,5000,0.4519746369808985,0.5423702583236514,9,0.0,0.01,True,0.0001425590081683791,,0.09039562134275286
PPI,1000,0.49894481662579027,0.7007917566414815,0,0.0,0.1,True,0.004997864424460707,,0.20184694001569126
Tuned PPI,1000,0.49588120222110404,0.7021838998094561,0,0.0,0.1,True,0.004909374995300069,0.0,0.206302697588352
Classical,1000,0.49593279079587077,0.7021323112346893,0,0.0,0.1,True,0.004909374995300069,,0.20619952043881856
PPI,1000,0.3893870216171813,0.5902477067912205,1,0.0,0.1,True,0.001458540254717297,,0.2008606851740392
Tuned PPI,1000,0.38654383773904544,0.5873769202595468,1,0.0,0.1,True,0.0015781632839728314,0.30648303039585295,0.20083308252050136
Classical,1000,0.37906911105059554,0.5923264960958257,1,0.0,0.1,True,0.0016344497400001161,,0.21325738504523012
PPI,1000,0.36132083623736944,0.5629527099814465,2,0.0,0.1,True,0.0009345098154077815,,0.2016318737440771
Tuned PPI,1000,0.36410866435024614,0.5655779213020024,2,0.0,0.1,True,0.0008520181562899262,0.32142452567320007,0.20146925695175621
Classical,1000,0.36779684932189805,0.5644537600803503,2,0.0,0.1,True,0.0008157064974337827,,0.19665691075845226
PPI,1000,0.4651404902698965,0.6780368860708694,3,0.0,0.1,True,0.0049199227642585,,0.21289639580097292
Tuned PPI,1000,0.4651404902698965,0.6780368860708694,3,0.0,0.1,True,0.0049199227642585,1.0,0.21289639580097292
Classical,1000,0.47137178848609484,0.6807354506723744,3,0.0,0.1,True,0.005353621038981451,,0.20936366218627955
PPI,1000,0.3343736361934214,0.5422447631612632,4,0.0,0.1,True,0.003046731641944413,,0.20787112696784182
Tuned PPI,1000,0.3345214336959272,0.5423939962407799,4,0.0,0.1,True,0.0030397819385072165,0.9820319002555823,0.2078725625448527
Classical,1000,0.34120076354237666,0.5519486316464669,4,0.0,0.1,True,0.002696715315498792,,0.21074786810409024
PPI,1000,0.40853410461131334,0.5928016891129297,5,0.0,0.1,True,0.0007486667779940083,,0.1842675845016164
Tuned PPI,1000,0.40853410461131334,0.5928016891129297,5,0.0,0.1,True,0.0007486667779940083,1.0,0.1842675845016164
Classical,1000,0.40876660021459665,0.5962312947340553,5,0.0,0.1,True,0.0005999247156986074,,0.18746469451945869
PPI,1000,0.47354662673249476,0.6855202700585407,6,0.0,0.1,True,0.0052311728795095365,,0.2119736433260459
Tuned PPI,1000,0.4762636072676632,0.6823312955894192,6,0.0,0.1,True,0.0050521719842817085,0.0,0.20606768832175598
Classical,1000,0.47631513707541784,0.6822797657816645,6,0.0,0.1,True,0.0050521719842817085,,0.20596462870624666
PPI,1000,0.3435796611866547,0.5547864669117744,7,0.0,0.1,True,0.0013160593944483638,,0.21120680572511968
Tuned PPI,1000,0.3470643152717954,0.5580079325830289,7,0.0,0.1,True,0.0011343348766039696,0.1410560226086968,0.21094361731123357
Classical,1000,0.3451909747281495,0.5609825540074698,7,0.0,0.1,True,0.0011064693375816925,,0.21579157927932024
PPI,1000,0.39475282605586504,0.6137694697661491,8,0.0,0.1,True,0.0027743448754820248,,0.21901664371028406
Tuned PPI,1000,0.3943684962502128,0.6135883834662146,8,0.0,0.1,True,0.0026006557433329255,0.14555448089913206,0.21921988721600177
Classical,1000,0.3998610150046939,0.6079995462854546,8,0.0,0.1,True,0.002571629738089529,,0.2081385312807607
PPI,1000,0.37152647696004276,0.5638389545752985,9,0.0,0.1,True,0.0014295117333317255,,0.19231247761525577
Tuned PPI,1000,0.37408044383570155,0.5660627287262543,9,0.0,0.1,True,0.001289465762412315,0.05440233220283974,0.19198228489055275
Classical,1000,0.365571474581479,0.5748465720240165,9,0.0,0.1,True,0.001281657313831964,,0.20927509744253747
PPI,2000,0.3799549362258792,0.5320994885984551,0,0.0,0.1,True,0.0018256090775521188,,0.1521445523725759
Tuned PPI,2000,0.3813536399820655,0.530828969396325,0,0.0,0.1,True,0.0017966009569994736,0.0,0.14947532941425945
Classical,2000,0.38137232673437826,0.5308102826440122,0,0.0,0.1,True,0.0017966009569994736,,0.14943795590963393
PPI,2000,0.44026887709858237,0.5954648416568721,1,0.0,0.1,True,0.0006325925946773737,,0.1551959645582897
Tuned PPI,2000,0.44104216968346077,0.5962151240576443,1,0.0,0.1,True,0.0005598245441003318,0.0948775213312115,0.15517295437418355
Classical,2000,0.44305477276621913,0.5943622264529931,1,0.0,0.1,True,0.0005527378672570255,,0.15130745368677395
PPI,2000,0.40794130796986283,0.549546225224256,2,0.0,0.1,True,0.0008281183955126629,,0.14160491725439317
Tuned PPI,2000,0.40450821849089386,0.5485185029054401,2,0.0,0.1,True,0.0009691734582460336,0.0,0.14401028441454627
Classical,2000,0.40452622202716904,0.5485004993691649,2,0.0,0.1,True,0.0009691734582460336,,0.14397427734199586
PPI,2000,0.36116178273062555,0.5078746105851529,3,0.0,0.1,True,0.002644554292535364,,0.14671282785452738
Tuned PPI,2000,0.36151495163584835,0.5080917864548448,3,0.0,0.1,True,0.0026094574822365466,0.733152535832282,0.14657683481899642
Classical,2000,0.36593580024237404,0.5052379368802622,3,0.0,0.1,True,0.0025148661565418465,,0.13930213663788815
PPI,2000,0.41089109017080305,0.5541582051743428,4,0.0,0.1,True,0.0006024904976651705,,0.14326711500353972
Tuned PPI,2000,0.41658780121744776,0.5521455016597149,4,0.0,0.1,True,0.0006557172548545273,0.0,0.13555770044226712
Classical,2000,0.4166047480486219,0.5521285548285407,4,0.0,0.1,True,0.0006557172548545273,,0.13552380677991882
PPI,2000,0.42817331992250224,0.5662092363080548,5,0.0,0.1,True,0.0007870676640205302,,0.13803591638555252
Tuned PPI,2000,0.43246586590363634,0.5700830954727297,5,0.0,0.1,True,0.0006688920682065467,0.16943619836299229,0.1376172295690934
Classical,2000,0.43522619178586774,0.5689887278702481,5,0.0,0.1,True,0.000647953398858619,,0.13376253608438038
PPI,2000,0.35053601669077605,0.4945721926932063,6,0.0,0.1,False,0.0032572502778244862,,0.14403617600243024
Tuned PPI,2000,0.34872606980662485,0.4924948397195081,6,0.0,0.1,False,0.0034289255441381137,0.3536617185702564,0.14376876991288323
