method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.4960837307987864,0.5106492260692443,4,0.0,0.1,True,7.318253227643162e-06,,0.014565495270457918
Tuned PPI,1000,0.4992119508519926,0.508989067640655,4,0.0,0.1,True,1.164078206725169e-05,0.0,0.009777116788662388
Classical,1000,0.4992143957425653,0.5089866227500822,4,0.0,0.1,True,1.164078206725169e-05,,0.009772227007516898
PPI,1000,0.49367242650295523,0.508515790572481,5,0.0,0.1,True,4.1094121249846e-06,,0.014843364069525744
Tuned PPI,1000,0.4902718321364364,0.5007441325633337,5,0.0,0.1,True,1.0686519703273096e-05,0.004415807738888343,0.01047230042689734
Classical,1000,0.48999995197837537,0.5009664593848864,5,0.0,0.1,True,1.0816408274823415e-05,,0.010966507406511006
PPI,1000,0.4937440037351315,0.5082539325776345,6,0.0,0.1,True,3.7903787198867407e-06,,0.014509928842503017
Tuned PPI,1000,0.4938152655971947,0.5046870754212329,6,0.0,0.1,True,7.486719284760605e-06,0.019628031580476487,0.010871809824038237
Classical,1000,0.49432964526396367,0.5041027104253848,6,0.0,0.1,True,7.6073818353276676e-06,,0.009773065161421124
PPI,1000,0.49427778077385487,0.5092418824956352,7,0.0,0.1,True,2.1215822642619896e-06,,0.01496410172178031
Tuned PPI,1000,0.49384193994334125,0.5033073137823625,7,0.0,0.1,True,3.00450952324135e-06,0.0,0.00946537383902124
Classical,1000,0.49384430687868286,0.5033049468470209,7,0.0,0.1,True,3.00450952324135e-06,,0.009460639968338014
PPI,1000,0.48582011289162563,0.5006726151350699,8,0.0,0.1,True,3.510998273700881e-05,,0.014852502243444254
Tuned PPI,1000,0.4902715755361967,0.499834313289395,8,0.0,0.1,False,2.8075266567273536e-05,0.0,0.00956273775319827
Classical,1000,0.49027396681860513,0.49983192200698656,8,0.0,0.1,False,2.8075266567273536e-05,,0.009557955188381428
PPI,1000,0.48444639694289393,0.4996176846806546,9,0.0,0.1,False,3.247064899801349e-05,,0.015171287737760664
Tuned PPI,1000,0.49160503155340596,0.5018321954917729,9,0.0,0.1,True,7.202596787488966e-06,0.0,0.010227163938366979
Classical,1000,0.4916075889839081,0.5018296380612708,9,0.0,0.1,True,7.202596787488966e-06,,0.010222049077362683
PPI,2000,0.4977012116088235,0.5084007369965631,0,0.0,0.1,True,3.2168071698580755e-05,,0.01069952538773955
Tuned PPI,2000,0.49632015697348153,0.5035329469979772,0,0.0,0.1,True,1.2906474233743537e-05,0.0,0.007212790024495708
Classical,2000,0.4963210586849626,0.5035320452864962,0,0.0,0.1,True,1.2906474233743534e-05,,0.0072109866015335755
PPI,2000,0.4887542890457947,0.49964155532675364,1,0.0,0.1,False,2.028817579313231e-05,,0.01088726628095893
Tuned PPI,2000,0.4926129407773791,0.4996634357457969,1,0.0,0.1,False,1.1552859576959372e-05,0.0,0.007050494968417809
Classical,2000,0.4926138221994417,0.4996625543237343,1,0.0,0.1,False,1.1552859576959372e-05,,0.007048732124292578
PPI,2000,0.4925973563764778,0.5028789371322465,2,0.0,0.1,True,1.573479630885039e-05,,0.010281580755768738
Tuned PPI,2000,0.4917704380236515,0.4992968469483764,2,0.0,0.1,False,1.1782375287647904e-05,0.01907132130412678,0.007526408924724892
Classical,2000,0.491776939427269,0.4992046251246484,2,0.0,0.1,False,1.1857204964005993e-05,,0.007427685697379394
PPI,2000,0.498163554074014,0.508625011304873,3,0.0,0.1,True,9.665771351092489e-06,,0.010461457230859006
Tuned PPI,2000,0.49864506490032645,0.5058404003370041,3,0.0,0.1,True,4.808687388124267e-06,0.0,0.007195335436677608
Classical,2000,0.4986459644297113,0.5058395008076192,3,0.0,0.1,True,4.808687388124267e-06,,0.007193536377907872
PPI,2000,0.49016766332418804,0.5004070199148554,4,0.0,0.1,True,1.7821145270295936e-05,,0.010239356590667326
Tuned PPI,2000,0.49503059326129206,0.5025529969263327,4,0.0,0.1,True,2.506675064302365e-06,0.07579128357876562,0.0075224036650406445
Classical,2000,0.4953497482812346,0.5028086190586483,4,0.0,0.1,True,1.936225614769865e-06,,0.00745887077741364
PPI,2000,0.4931864365215446,0.5033813839451317,5,0.0,0.1,True,1.4987714832918302e-05,,0.010194947423587064
Tuned PPI,2000,0.49785796954154765,0.5050814439236345,5,0.0,0.1,True,5.875141776065201e-06,0.012143739489726323,0.00722347438208687
Classical,2000,0.49786898984319883,0.505148749759703,5,0.0,0.1,True,5.853769074828692e-06,,0.007279759916504203
PPI,2000,0.4936248750278982,0.5039620122573449,6,0.0,0.1,True,2.1077689662252305e-06,,0.010337137229446736
Tuned PPI,2000,0.49342071521764763,0.5002388209837324,6,0.0,0.1,True,5.603453204783054e-06,0.0,0.00681810576608477
Classical,2000,0.49342156758742794,0.5002379686139521,6,0.0,0.1,True,5.603453204783054e-06,,0.006816401026524144
PPI,2000,0.4961610860281722,0.5063318178870853,7,0.0,0.1,True,1.2996464538628145e-06,,0.01017073185891304
Tuned PPI,2000,0.49641501991126424,0.5033044588309945,7,0.0,0.1,True,2.861212375007785e-06,0.009289907136982464,0.006889438919730262
Classical,2000,0.4963309933589912,0.5033624789233618,7,0.0,0.1,True,2.940005116379617e-06,,0.00703148556437061
PPI,2000,0.49974738706154964,0.5109943521445364,8,0.0,0.1,True,2.2912261397865152e-05,,0.011246965082986726
Tuned PPI,2000,0.49902601031578037,0.5067894871365639,8,0.0,0.1,True,9.376406569219327e-06,0.0,0.007763476820783544
Classical,2000,0.49902698087171765,0.5067885165806267,8,0.0,0.1,True,9.376406569219327e-06,,0.007761535708909084
PPI,2000,0.49576077059378876,0.5058254604911185,9,0.0,0.1,True,3.6092679107171753e-07,,0.010064689897329782
Tuned PPI,2000,0.4954000485781192,0.5026992898968508,9,0.0,0.1,True,8.985459585450642e-07,0.03307470607826197,0.007299241318731553
