method,n,lower,upper,trial,mu,sigma,coverage,error,lambda,width
PPI,1000,0.45461877204033857,0.5589050372508085,7,0.0,0.1,True,0.0006431772153270309,,0.10428626521046996
Tuned PPI,1000,0.24971914005870866,0.46022833620818515,7,0.0,0.1,False,0.015639896112930207,0.7997296492092723,0.2105091961494765
Classical,1000,-0.7516410946291501,0.2493322715528899,7,0.0,0.1,False,0.34865810403327535,,1.00097336618204
PPI,1000,0.4503708517903679,0.5545590040940204,8,0.0,0.1,True,0.0008686532734691021,,0.10418815230365247
Tuned PPI,1000,0.4503708517903679,0.5545590040940204,8,0.0,0.1,True,0.0008686532734691021,1.0,0.10418815230365247
Classical,1000,-0.12193281558926206,0.9863648271575729,8,0.0,0.1,True,0.01048503828384798,,1.108297642746835
PPI,1000,0.45124692914756565,0.5555051961453668,9,0.0,0.1,True,0.000590886815283277,,0.10425826699780111
Tuned PPI,1000,0.45040123504745694,0.5544463536394695,9,0.0,0.1,True,0.0005861039117147116,0.9977648356468067,0.10404511859201254
Classical,1000,-0.447080610141025,0.6017537358360705,9,0.0,0.1,True,0.08935224445849022,,1.0488343459770955
PPI,2000,0.4531664072176081,0.5577275879634701,0,0.0,0.1,True,0.00066164361945536,,0.10456118074586201
Tuned PPI,2000,0.4415162791914568,0.5462557970311638,0,0.0,0.1,True,0.0006241046879171128,0.9551535840922702,0.10473951783970697
Classical,2000,-0.1314185426351781,0.6267324520847557,0,0.0,0.1,True,0.03188730812825211,,0.7581509947199339
PPI,2000,0.4490099906314176,0.5535414494138013,1,0.0,0.1,True,0.0006117107198107641,,0.10453145878238373
Tuned PPI,2000,0.4490099906314176,0.5535414494138013,1,0.0,0.1,True,0.0006117107198107641,1.0,0.10453145878238373
Classical,2000,0.21510880685129113,0.9285224037161519,1,0.0,0.1,True,0.010514584817848845,,0.7134135968648607
PPI,2000,0.43502490582666925,0.539492063758892,2,0.0,0.1,True,0.0007916093855562356,,0.10446715793222278
Tuned PPI,2000,0.43502490582666925,0.539492063758892,2,0.0,0.1,True,0.0007916093855562356,1.0,0.10446715793222278
Classical,2000,0.7165088294385558,1.423944481909667,2,0.0,0.1,False,0.16368285458855245,,0.7074356524711112
PPI,2000,0.4553037506321153,0.5598834829736089,3,0.0,0.1,True,0.0005910325539688449,,0.10457973234149359
Tuned PPI,2000,0.4415362616835534,0.5459599924843739,3,0.0,0.1,True,0.0008443527812317565,0.9580124225573055,0.10442373080082046
