method,p,n,trial,sigma,theta,error,error_max,error_min
Imputed,200,100,12,2.0,-2.2693420192712034e-05,0.04592071360762999,0.5854061862350972,4.532685674822879e-06
Classical,200,100,12,2.0,-2.2693420192712034e-05,0.15295848854147936,0.9511471343831452,1.0440587698906779e-05
PPI_lambda1,200,100,12,2.0,-2.2693420192712034e-05,0.07003470407734115,0.772983595611512,1.992354258612492e-07
PPI_tuned,200,100,12,2.0,-2.2693420192712034e-05,0.07003470407734115,0.772983595611512,1.992354258612492e-07
Debias_Lasso,200,100,12,2.0,-2.2693420192712034e-05,0.047124180038484786,0.6446125118477921,2.652361808750368e-07
Debias_ElasticNet,200,100,12,2.0,-2.2693420192712034e-05,0.04712418003848477,0.6446125118477921,2.652361808750368e-07
Debias_Ridge,200,100,12,2.0,-2.2693420192712034e-05,0.06589497216276402,0.8380502280760457,8.482524163917399e-07
Imputed,200,100,13,2.0,-2.2693420192712034e-05,0.046039043292901025,0.31470954535685414,3.796649890066746e-08
Classical,200,100,13,2.0,-2.2693420192712034e-05,0.17141355629238875,1.3167930333175526,3.215124020650918e-06
PPI_lambda1,200,100,13,2.0,-2.2693420192712034e-05,0.07324088062175099,0.854674078064219,2.9786380048159193e-07
PPI_tuned,200,100,13,2.0,-2.2693420192712034e-05,0.07324088062175099,0.854674078064219,2.9786380048159193e-07
Debias_Lasso,200,100,13,2.0,-2.2693420192712034e-05,0.045979884019161324,0.3209567109045991,7.089541447576904e-07
Debias_ElasticNet,200,100,13,2.0,-2.2693420192712034e-05,0.045979884019161324,0.3209567109045991,7.089541447576904e-07
Debias_Ridge,200,100,13,2.0,-2.2693420192712034e-05,0.06605257638133645,0.7505383051983736,5.4789554957929046e-06
Imputed,200,100,14,2.0,-2.2693420192712034e-05,0.043830990308912285,0.46868629230980935,1.0424192623220067e-06
Classical,200,100,14,2.0,-2.2693420192712034e-05,0.15571160073395,1.1385033857021356,1.4016785537428169e-06
PPI_lambda1,200,100,14,2.0,-2.2693420192712034e-05,0.061689885481424456,0.5510462032232971,6.340382241626275e-08
PPI_tuned,200,100,14,2.0,-2.2693420192712034e-05,0.061689885481424456,0.5510462032232971,6.340382241626275e-08
Debias_Lasso,200,100,14,2.0,-2.2693420192712034e-05,0.043733924639931254,0.47205219853135927,1.8962816149879798e-06
Debias_ElasticNet,200,100,14,2.0,-2.2693420192712034e-05,0.043733924639931254,0.47205219853135927,1.8962816149879798e-06
Debias_Ridge,200,100,14,2.0,-2.2693420192712034e-05,0.055528864445338603,0.48778350447493085,1.6382881603735855e-06
Imputed,200,100,15,2.0,-2.2693420192712034e-05,0.048004494056323906,0.3497860848545753,5.410623953460111e-08
Classical,200,100,15,2.0,-2.2693420192712034e-05,0.16205309363937595,0.9929522041366883,1.69165074615133e-05
PPI_lambda1,200,100,15,2.0,-2.2693420192712034e-05,0.06388765979920587,0.414144719583351,2.7600790154233384e-10
PPI_tuned,200,100,15,2.0,-2.2693420192712034e-05,0.06388765979920587,0.414144719583351,2.7600790154233384e-10
Debias_Lasso,200,100,15,2.0,-2.2693420192712034e-05,0.04856120445492929,0.3621625393014305,2.782812104446616e-08
Debias_ElasticNet,200,100,15,2.0,-2.2693420192712034e-05,0.04856120445492929,0.3621625393014305,2.782812104446616e-08
Debias_Ridge,200,100,15,2.0,-2.2693420192712034e-05,0.05929869915319252,0.37627885091081803,1.8323594738520062e-06
Imputed,200,100,16,2.0,-2.2693420192712034e-05,0.0331748800158686,0.2963594560541809,9.245281053776281e-06
Classical,200,100,16,2.0,-2.2693420192712034e-05,0.17831434386246325,2.018013123347239,6.58110681563729e-05
PPI_lambda1,200,100,16,2.0,-2.2693420192712034e-05,0.04701089563151686,0.4221348466461468,7.65824756865542e-06
PPI_tuned,200,100,16,2.0,-2.2693420192712034e-05,0.04701089563151686,0.4221348466461468,7.65824756865542e-06
Debias_Lasso,200,100,16,2.0,-2.2693420192712034e-05,0.0343867580219764,0.3321506924369462,8.070911398068362e-07
Debias_ElasticNet,200,100,16,2.0,-2.2693420192712034e-05,0.0343867580219764,0.3321506924369462,8.07091139806537e-07
Debias_Ridge,200,100,16,2.0,-2.2693420192712034e-05,0.046872727062648355,0.49504682642062725,5.230356087208272e-06
Imputed,200,100,17,2.0,-2.2693420192712034e-05,0.05496341252870554,0.45195229530455727,8.302389451371894e-07
Classical,200,100,17,2.0,-2.2693420192712034e-05,0.14830487976123663,1.776998318952304,8.218146373855559e-07
PPI_lambda1,200,100,17,2.0,-2.2693420192712034e-05,0.0778756841906437,0.6481791840473994,2.322815337981589e-07
PPI_tuned,200,100,17,2.0,-2.2693420192712034e-05,0.0778756841906437,0.6481791840473994,2.322815337981589e-07
Debias_Lasso,200,100,17,2.0,-2.2693420192712034e-05,0.054715301573405366,0.4433616700860355,3.0440769843829103e-07
Debias_ElasticNet,200,100,17,2.0,-2.2693420192712034e-05,0.054750316593981704,0.44303599690002915,5.378713547608069e-07
Debias_Ridge,200,100,17,2.0,-2.2693420192712034e-05,0.07348097785850737,0.560610252037401,3.8284882778724523e-07
Imputed,200,100,18,2.0,-2.2693420192712034e-05,0.04736464357062038,0.3380797955801919,6.986436086987117e-07
Classical,200,100,18,2.0,-2.2693420192712034e-05,0.17589571987927047,1.4347407049595167,2.296616397964224e-05
PPI_lambda1,200,100,18,2.0,-2.2693420192712034e-05,0.0592501583486313,0.6415519081725342,1.7920390018400749e-06
PPI_tuned,200,100,18,2.0,-2.2693420192712034e-05,0.0592501583486313,0.6415519081725342,1.7920390018400749e-06
Debias_Lasso,200,100,18,2.0,-2.2693420192712034e-05,0.04793013083949971,0.32570005169308575,2.8471087307028048e-06
Debias_ElasticNet,200,100,18,2.0,-2.2693420192712034e-05,0.0478431288888067,0.3264202967025351,2.1799955336348035e-07
Debias_Ridge,200,100,18,2.0,-2.2693420192712034e-05,0.05622859890710611,0.6061130494549741,6.801834623193514e-07
Imputed,200,100,19,2.0,-2.2693420192712034e-05,0.04996481661677341,0.49949971184177905,6.772238791828638e-08
Classical,200,100,19,2.0,-2.2693420192712034e-05,0.18377074307047814,1.0652072487197022,2.7316708952557356e-05
PPI_lambda1,200,100,19,2.0,-2.2693420192712034e-05,0.06540458871538796,0.35213180691020934,4.0164894693598786e-05
PPI_tuned,200,100,19,2.0,-2.2693420192712034e-05,0.06540458871538796,0.35213180691020934,4.0164894693598786e-05
Debias_Lasso,200,100,19,2.0,-2.2693420192712034e-05,0.05008314533260011,0.5149913905171293,3.5023700396645647e-06
Debias_ElasticNet,200,100,19,2.0,-2.2693420192712034e-05,0.05008314533260011,0.5149913905171293,3.5023700396645647e-06
Debias_Ridge,200,100,19,2.0,-2.2693420192712034e-05,0.06082926954466931,0.3562960358756909,2.0350730575344345e-07
Imputed,200,100,20,2.0,-2.2693420192712034e-05,0.04542252957537974,0.41651279611967795,7.474841489946246e-08
Classical,200,100,20,2.0,-2.2693420192712034e-05,0.19612815832553251,1.7967892839020594,2.39412913557182e-06
PPI_lambda1,200,100,20,2.0,-2.2693420192712034e-05,0.052285326511386045,0.5493014074520556,1.979146399171948e-05
PPI_tuned,200,100,20,2.0,-2.2693420192712034e-05,0.052285326511386045,0.5493014074520556,1.979146399171948e-05
Debias_Lasso,200,100,20,2.0,-2.2693420192712034e-05,0.045101135065625755,0.3958640043286104,1.2164125438948382e-06
Debias_ElasticNet,200,100,20,2.0,-2.2693420192712034e-05,0.04511412560511017,0.396091858174663,2.1589925513174957e-06
Debias_Ridge,200,100,20,2.0,-2.2693420192712034e-05,0.05001942318459994,0.4967746425088308,2.0562949467186402e-05
Imputed,200,100,21,2.0,-2.2693420192712034e-05,0.05678879686434438,0.5346308407072163,9.57045924541223e-07
Classical,200,100,21,2.0,-2.2693420192712034e-05,0.17624550112995202,1.4559954017081982,6.0055381806330204e-05
PPI_lambda1,200,100,21,2.0,-2.2693420192712034e-05,0.07551615518375832,0.45658217301343207,1.7241835685031944e-05
PPI_tuned,200,100,21,2.0,-2.2693420192712034e-05,0.07551615518375832,0.45658217301343207,1.7241835685031944e-05
Debias_Lasso,200,100,21,2.0,-2.2693420192712034e-05,0.05875981619401505,0.5332935743556582,4.104849518797285e-06
Debias_ElasticNet,200,100,21,2.0,-2.2693420192712034e-05,0.05811856023995581,0.5326543206646415,1.4609420676366353e-06
Debias_Ridge,200,100,21,2.0,-2.2693420192712034e-05,0.07231412415561922,0.4809649694991404,6.203545014459575e-06
Imputed,200,100,22,2.0,-2.2693420192712034e-05,0.04994405547697173,0.31333637549120946,2.0520095753209045e-06
Classical,200,100,22,2.0,-2.2693420192712034e-05,0.159043431775917,1.2266719630367648,6.274061879719279e-05
PPI_lambda1,200,100,22,2.0,-2.2693420192712034e-05,0.06995919875578056,0.5289837058363485,1.1132927045202233e-06
PPI_tuned,200,100,22,2.0,-2.2693420192712034e-05,0.06995919875578056,0.5289837058363485,1.1132927045202233e-06
Debias_Lasso,200,100,22,2.0,-2.2693420192712034e-05,0.05013901854521127,0.30912982071929573,2.7651909540594835e-06
Debias_ElasticNet,200,100,22,2.0,-2.2693420192712034e-05,0.04990122825723059,0.309021468239469,2.2094424268351977e-06
Debias_Ridge,200,100,22,2.0,-2.2693420192712034e-05,0.06506849139262792,0.4733031091783676,3.305673850296405e-05
Imputed,200,100,23,2.0,-2.2693420192712034e-05,0.05562632107998719,0.5841162360612805,3.996518144127956e-09
Classical,200,100,23,2.0,-2.2693420192712034e-05,0.2045017587920694,1.376189940535233,4.097582838167611e-05
PPI_lambda1,200,100,23,2.0,-2.2693420192712034e-05,0.08349917648200708,0.7964774556344396,1.9056519988771295e-05
PPI_tuned,200,100,23,2.0,-2.2693420192712034e-05,0.08349917648200708,0.7964774556344396,1.9056519988771295e-05
Debias_Lasso,200,100,23,2.0,-2.2693420192712034e-05,0.0560741635616932,0.5879909436660247,5.915175194326315e-09
Debias_ElasticNet,200,100,23,2.0,-2.2693420192712034e-05,0.05587326122656922,0.5878918038505969,2.7959053377964243e-07
Debias_Ridge,200,100,23,2.0,-2.2693420192712034e-05,0.07738223254790177,0.6605176274862253,4.6879134799130854e-08
Imputed,200,100,24,2.0,-2.2693420192712034e-05,0.044459867196118816,0.3106727978417069,1.2525074424758629e-07
Classical,200,100,24,2.0,-2.2693420192712034e-05,0.15833532527851385,1.3926882449361435,8.820251475783462e-06
PPI_lambda1,200,100,24,2.0,-2.2693420192712034e-05,0.06935106880032513,0.45264743832717363,3.438458541784858e-06
PPI_tuned,200,100,24,2.0,-2.2693420192712034e-05,0.06935106880032513,0.45264743832717363,3.438458541784858e-06
Debias_Lasso,200,100,24,2.0,-2.2693420192712034e-05,0.04536307027715452,0.33381432893021157,3.3060813516610328e-06
Debias_ElasticNet,200,100,24,2.0,-2.2693420192712034e-05,0.04535314996379167,0.3338184475036248,3.3125305677023814e-06
Debias_Ridge,200,100,24,2.0,-2.2693420192712034e-05,0.0623632732876751,0.41803779696248733,4.226305112761214e-07
Imputed,200,100,25,2.0,-2.2693420192712034e-05,0.04567384969639982,0.40774359396517823,3.4886541000905733e-06
Classical,200,100,25,2.0,-2.2693420192712034e-05,0.13621911472311302,1.214189129110032,4.74574350395481e-05
PPI_lambda1,200,100,25,2.0,-2.2693420192712034e-05,0.0669339999821969,0.6035632873247283,1.6674401156090465e-07
PPI_tuned,200,100,25,2.0,-2.2693420192712034e-05,0.0669339999821969,0.6035632873247283,1.6674401156090465e-07
Debias_Lasso,200,100,25,2.0,-2.2693420192712034e-05,0.04581305707572035,0.39458284594980875,7.963582195577122e-07
Debias_ElasticNet,200,100,25,2.0,-2.2693420192712034e-05,0.045743587492610836,0.3951178090487561,8.692803146971407e-07
Debias_Ridge,200,100,25,2.0,-2.2693420192712034e-05,0.06012175019109358,0.5234062308382885,2.013768718008706e-05
Imputed,200,100,26,2.0,-2.2693420192712034e-05,0.05333491944715889,0.47914786672571813,5.287008617287573e-07
Classical,200,100,26,2.0,-2.2693420192712034e-05,0.17627926703795652,1.4207641989363664,1.1640963906913223e-05
PPI_lambda1,200,100,26,2.0,-2.2693420192712034e-05,0.06923125026996362,0.5025621755866788,1.1397366038657214e-06
PPI_tuned,200,100,26,2.0,-2.2693420192712034e-05,0.06923125026996362,0.5025621755866788,1.1397366038657214e-06
Debias_Lasso,200,100,26,2.0,-2.2693420192712034e-05,0.054396463982892,0.4811655864590042,7.188000279250202e-09
Debias_ElasticNet,200,100,26,2.0,-2.2693420192712034e-05,0.054396463982892,0.4811655864590042,7.188000279250202e-09
Debias_Ridge,200,100,26,2.0,-2.2693420192712034e-05,0.06420646335995399,0.47728599102445946,6.441074150776777e-06
Imputed,200,100,27,2.0,-2.2693420192712034e-05,0.04244690126655096,0.3307592806644935,8.922826087187621e-07
Classical,200,100,27,2.0,-2.2693420192712034e-05,0.16501650294137232,1.23064757820364,2.858211255118847e-06
PPI_lambda1,200,100,27,2.0,-2.2693420192712034e-05,0.05794334637441532,0.5368660092276157,1.6514915672394998e-09
PPI_tuned,200,100,27,2.0,-2.2693420192712034e-05,0.05794334637441532,0.5368660092276157,1.6514915672394998e-09
Debias_Lasso,200,100,27,2.0,-2.2693420192712034e-05,0.04381434879628397,0.3099923480416288,8.281826559742044e-07
Debias_ElasticNet,200,100,27,2.0,-2.2693420192712034e-05,0.04381434879628397,0.3099923480416288,8.281826559742044e-07
Debias_Ridge,200,100,27,2.0,-2.2693420192712034e-05,0.05385372415026479,0.4171838670835655,6.768162847986996e-07
Imputed,200,100,28,2.0,-2.2693420192712034e-05,0.04146637602328051,0.37953754551434876,8.895292336732264e-06
Classical,200,100,28,2.0,-2.2693420192712034e-05,0.18029367081820077,1.6060774018765926,1.4245005214902371e-05
PPI_lambda1,200,100,28,2.0,-2.2693420192712034e-05,0.053099149017606165,0.5394260757329697,5.360142903467645e-08
PPI_tuned,200,100,28,2.0,-2.2693420192712034e-05,0.053099149017606165,0.5394260757329697,5.360142903467645e-08
Debias_Lasso,200,100,28,2.0,-2.2693420192712034e-05,0.04207603033429672,0.3481937509818228,1.3335320207169811e-06
Debias_ElasticNet,200,100,28,2.0,-2.2693420192712034e-05,0.04201205162280736,0.3479275131994813,1.8348367385006971e-06
Debias_Ridge,200,100,28,2.0,-2.2693420192712034e-05,0.0500133343933796,0.48277928102000045,2.768631147495416e-07
Imputed,200,100,29,2.0,-2.2693420192712034e-05,0.046621390813121534,0.6993391117495843,4.229348973710902e-06
Classical,200,100,29,2.0,-2.2693420192712034e-05,0.18548472309504654,0.9365151557421404,3.6687265573130993e-07
PPI_lambda1,200,100,29,2.0,-2.2693420192712034e-05,0.06945834359920566,0.5271547559785744,1.5108480127691414e-05
PPI_tuned,200,100,29,2.0,-2.2693420192712034e-05,0.06945834359920566,0.5271547559785744,1.5108480127691414e-05
Debias_Lasso,200,100,29,2.0,-2.2693420192712034e-05,0.04595346731889486,0.6436022392565312,6.2295628240447135e-06
Debias_ElasticNet,200,100,29,2.0,-2.2693420192712034e-05,0.04595346731889486,0.6436022392565312,6.2295628240447135e-06
Debias_Ridge,200,100,29,2.0,-2.2693420192712034e-05,0.0645661179495904,0.6296651154082297,1.4156742834517966e-06
Imputed,300,50,0,2.0,-0.0058473946618444,0.09636902701413248,0.7141070730333066,1.9004439833597013e-06
Classical,300,50,0,2.0,-0.0058473946618444,0.2662181735432762,2.6427526410560613,1.3330217467975949e-07
PPI_lambda1,300,50,0,2.0,-0.0058473946618444,0.09654285347110925,0.7750601182002107,1.9858890694689606e-05
PPI_tuned,300,50,0,2.0,-0.0058473946618444,0.09654285347110925,0.7750601182002107,1.9858890694689606e-05
Debias_Lasso,300,50,0,2.0,-0.0058473946618444,0.09861670057427342,0.7212677545473504,9.628645617750626e-06
Debias_ElasticNet,300,50,0,2.0,-0.0058473946618444,0.09746487868859516,0.7089756182591131,1.784816189928953e-07
Debias_Ridge,300,50,0,2.0,-0.0058473946618444,0.1010456253767695,0.8270983856666576,1.5510889476582516e-06
Imputed,300,50,1,2.0,-0.0058473946618444,0.09624098792003295,0.6720065964158063,1.2681728889336432e-06
Classical,300,50,1,2.0,-0.0058473946618444,0.26033909938231453,1.8663986949050346,4.959584701787462e-06
PPI_lambda1,300,50,1,2.0,-0.0058473946618444,0.09550992802004662,0.6050862788278175,1.3652802540824066e-06
PPI_tuned,300,50,1,2.0,-0.0058473946618444,0.09550992802004662,0.6050862788278175,1.3652802540824066e-06
Debias_Lasso,300,50,1,2.0,-0.0058473946618444,0.09078354026623678,0.8384734623718467,3.4792726649477996e-06
Debias_ElasticNet,300,50,1,2.0,-0.0058473946618444,0.09078354026623678,0.8384734623718467,3.4792726649477996e-06
Debias_Ridge,300,50,1,2.0,-0.0058473946618444,0.09073645562724356,0.8622952877884885,6.371797802884525e-07
Imputed,300,50,2,2.0,-0.0058473946618444,0.0875311339938759,0.7070294703839537,9.290886227764664e-07
Classical,300,50,2,2.0,-0.0058473946618444,0.2592234542191299,1.3550413537661863,2.9749466376846436e-05
PPI_lambda1,300,50,2,2.0,-0.0058473946618444,0.08757135526031047,0.6505926594309706,2.5223987561355685e-07
PPI_tuned,300,50,2,2.0,-0.0058473946618444,0.08757135526031047,0.6505926594309706,2.5223987561355685e-07
Debias_Lasso,300,50,2,2.0,-0.0058473946618444,0.0889921257967324,0.6292078761185201,3.7450676853462065e-08
Debias_ElasticNet,300,50,2,2.0,-0.0058473946618444,0.08907686473160129,0.6317413338974724,2.5595565557916587e-06
Debias_Ridge,300,50,2,2.0,-0.0058473946618444,0.08921833846615679,0.6864796251000442,4.107876291211673e-06
Imputed,300,50,3,2.0,-0.0058473946618444,0.0848943774616384,0.6420339992744083,8.122864600805226e-07
Classical,300,50,3,2.0,-0.0058473946618444,0.2736504350668899,1.7132246517787548,6.590354118453859e-10
PPI_lambda1,300,50,3,2.0,-0.0058473946618444,0.0864990408586344,0.7130025437222987,2.022368771253528e-06
PPI_tuned,300,50,3,2.0,-0.0058473946618444,0.0864990408586344,0.7130025437222987,2.022368771253528e-06
Debias_Lasso,300,50,3,2.0,-0.0058473946618444,0.07977808562934399,0.6354641870603278,1.7198456927619101e-06
Debias_ElasticNet,300,50,3,2.0,-0.0058473946618444,0.07977808562934399,0.6354641870603279,1.719845692761619e-06
Debias_Ridge,300,50,3,2.0,-0.0058473946618444,0.08406576764467281,0.6792649753992859,2.75228164966852e-06
Imputed,300,50,4,2.0,-0.0058473946618444,0.1772783747796961,2.2264723853362693,1.778051377676414e-07
Classical,300,50,4,2.0,-0.0058473946618444,0.2657672089195131,1.6671352517873965,1.406631162115834e-07
PPI_lambda1,300,50,4,2.0,-0.0058473946618444,0.17876411283900207,2.3531996156040402,1.0299287869205745e-07
PPI_tuned,300,50,4,2.0,-0.0058473946618444,0.17876411283900207,2.3531996156040402,1.0299287869205745e-07
Debias_Lasso,300,50,4,2.0,-0.0058473946618444,0.17814570252174566,1.8585072237636282,1.1030858579854483e-05
Debias_ElasticNet,300,50,4,2.0,-0.0058473946618444,0.17858651977038803,1.859975217162374,9.46217591542844e-06
Debias_Ridge,300,50,4,2.0,-0.0058473946618444,0.17913758922748926,1.8408094818308005,0.00010979636007926984
Imputed,300,50,5,2.0,-0.0058473946618444,0.09122463979893948,0.8084216761145447,2.0000499831541894e-07
Classical,300,50,5,2.0,-0.0058473946618444,0.26298172364380623,1.5832339448321253,3.8363237998187556e-05
PPI_lambda1,300,50,5,2.0,-0.0058473946618444,0.09317534967180469,0.9152617676787989,1.8761421849523353e-08
PPI_tuned,300,50,5,2.0,-0.0058473946618444,0.09317534967180469,0.9152617676787989,1.8761421849523353e-08
Debias_Lasso,300,50,5,2.0,-0.0058473946618444,0.093968347046564,0.7319321439496584,1.4501105097745756e-06
Debias_ElasticNet,300,50,5,2.0,-0.0058473946618444,0.09365662942845557,0.7239553997818454,1.0042601777700978e-05
Debias_Ridge,300,50,5,2.0,-0.0058473946618444,0.09543778453066809,0.7751672557106063,6.404717139559949e-06
Imputed,300,50,6,2.0,-0.0058473946618444,0.12039318017633212,1.3936262254764629,1.7828379311685608e-07
Classical,300,50,6,2.0,-0.0058473946618444,0.2734295425812825,2.363867033083291,7.99874816882499e-05
PPI_lambda1,300,50,6,2.0,-0.0058473946618444,0.1197262270552562,1.1733666156352085,1.5075958180628662e-05
PPI_tuned,300,50,6,2.0,-0.0058473946618444,0.1197262270552562,1.1733666156352085,1.5075958180628662e-05
Debias_Lasso,300,50,6,2.0,-0.0058473946618444,0.12254443065701386,1.4633149839123945,1.1252941533721747e-07
Debias_ElasticNet,300,50,6,2.0,-0.0058473946618444,0.12200566031625802,1.4489615647127516,9.502914582406566e-07
Debias_Ridge,300,50,6,2.0,-0.0058473946618444,0.12113375996435571,1.2391898011631879,2.2759112812293776e-06
Imputed,300,50,7,2.0,-0.0058473946618444,0.12336107707997329,0.9721019098094729,3.5649217444658185e-07
Classical,300,50,7,2.0,-0.0058473946618444,0.2626873281328943,1.5195643691501264,4.451142080709397e-06
PPI_lambda1,300,50,7,2.0,-0.0058473946618444,0.12413093275884539,0.9030045610904988,5.568966031206813e-07
PPI_tuned,300,50,7,2.0,-0.0058473946618444,0.12413093275884539,0.9030045610904988,5.568966031206813e-07
Debias_Lasso,300,50,7,2.0,-0.0058473946618444,0.12303744026862991,0.9718649782981876,4.773747726829006e-09
Debias_ElasticNet,300,50,7,2.0,-0.0058473946618444,0.12303744026862991,0.9718649782981876,4.773747726829006e-09
Debias_Ridge,300,50,7,2.0,-0.0058473946618444,0.11928588979355012,0.8966817135810126,1.8021978420342507e-06
Imputed,300,50,8,2.0,-0.0058473946618444,0.08168690546030809,1.2182899444798674,3.55234238138338e-08
Classical,300,50,8,2.0,-0.0058473946618444,0.27431177210397056,1.460085158921555,3.977597986332278e-05
PPI_lambda1,300,50,8,2.0,-0.0058473946618444,0.08580293101557307,1.281530349399685,1.715867114643955e-06
PPI_tuned,300,50,8,2.0,-0.0058473946618444,0.08580293101557307,1.281530349399685,1.715867114643955e-06
Debias_Lasso,300,50,8,2.0,-0.0058473946618444,0.08395284027698609,1.2548990551386512,1.5918989141396449e-06
Debias_ElasticNet,300,50,8,2.0,-0.0058473946618444,0.08255294995721231,1.1663635339041254,1.4787655420051242e-06
Debias_Ridge,300,50,8,2.0,-0.0058473946618444,0.08447657303381893,1.262932029829853,6.504747974985563e-07
Imputed,300,50,9,2.0,-0.0058473946618444,0.08979934747773245,1.0003810256346513,1.704060118268482e-07
Classical,300,50,9,2.0,-0.0058473946618444,0.2518428561129805,1.7987798170215674,8.521013695831343e-07
PPI_lambda1,300,50,9,2.0,-0.0058473946618444,0.09255649880180947,0.9708644070326168,7.526165169381555e-07
PPI_tuned,300,50,9,2.0,-0.0058473946618444,0.09255649880180947,0.9708644070326168,7.526165169381555e-07
Debias_Lasso,300,50,9,2.0,-0.0058473946618444,0.10759215398100265,0.9431962219883667,2.87177329523227e-06
Debias_ElasticNet,300,50,9,2.0,-0.0058473946618444,0.10759215398100265,0.9431962219883667,2.87177329523227e-06
Debias_Ridge,300,50,9,2.0,-0.0058473946618444,0.10821183939886576,0.9187918090343271,1.9100986089999502e-07
Imputed,300,50,10,2.0,-0.0058473946618444,0.08642794888241297,0.8054912160570934,3.644305780555703e-07
Classical,300,50,10,2.0,-0.0058473946618444,0.25217203436964675,1.5590212470036897,7.083729905097817e-07
PPI_lambda1,300,50,10,2.0,-0.0058473946618444,0.08960926664083471,0.8968039666947002,2.488717652767108e-06
PPI_tuned,300,50,10,2.0,-0.0058473946618444,0.08960926664083471,0.8968039666947002,2.488717652767108e-06
Debias_Lasso,300,50,10,2.0,-0.0058473946618444,0.09079403693593707,1.0104205033371594,2.3045866548388746e-07
Debias_ElasticNet,300,50,10,2.0,-0.0058473946618444,0.08684256230504507,0.7998934587236927,4.975605725551404e-07
Debias_Ridge,300,50,10,2.0,-0.0058473946618444,0.08429023946972015,0.8874898858759639,3.4376912768252594e-07
Imputed,300,50,11,2.0,-0.0058473946618444,0.08111209270747252,0.8823261559632011,7.68853001955921e-07
Classical,300,50,11,2.0,-0.0058473946618444,0.266781098647209,1.767933926187238,1.2033421191452418e-13
PPI_lambda1,300,50,11,2.0,-0.0058473946618444,0.08117915750159395,0.8664342558081459,2.733764960887054e-06
PPI_tuned,300,50,11,2.0,-0.0058473946618444,0.08117915750159395,0.8664342558081459,2.733764960887054e-06
Debias_Lasso,300,50,11,2.0,-0.0058473946618444,0.09804617435628925,1.2403004352681548,6.1655683879767405e-06
Debias_ElasticNet,300,50,11,2.0,-0.0058473946618444,0.10315149408022324,1.3214563768277083,6.1900023120577e-07
Debias_Ridge,300,50,11,2.0,-0.0058473946618444,0.09806236427254816,1.2130043490249285,1.696470178360352e-05
Imputed,300,50,12,2.0,-0.0058473946618444,0.10777583553322528,0.7494348537426843,2.4578594617500735e-06
Classical,300,50,12,2.0,-0.0058473946618444,0.2545509517586703,1.5528140914343758,4.530363181348847e-05
PPI_lambda1,300,50,12,2.0,-0.0058473946618444,0.1101759097369864,0.658047689778023,7.466955702731122e-06
PPI_tuned,300,50,12,2.0,-0.0058473946618444,0.1101759097369864,0.658047689778023,7.466955702731122e-06
Debias_Lasso,300,50,12,2.0,-0.0058473946618444,0.11026619224570244,0.7511454955604846,1.1717425014300897e-08
Debias_ElasticNet,300,50,12,2.0,-0.0058473946618444,0.10920760990553285,0.7501638563279588,1.06139778375675e-06
Debias_Ridge,300,50,12,2.0,-0.0058473946618444,0.11019538177406948,0.6699994571241527,1.5575049624734636e-06
Imputed,300,50,13,2.0,-0.0058473946618444,0.09969620862352893,1.100344564197096,9.166502499061335e-06
Classical,300,50,13,2.0,-0.0058473946618444,0.24822660077383982,1.2695679411655185,3.588858373055223e-05
PPI_lambda1,300,50,13,2.0,-0.0058473946618444,0.10318552501852757,1.1751446096404987,9.696445570189693e-07
PPI_tuned,300,50,13,2.0,-0.0058473946618444,0.10318552501852757,1.1751446096404987,9.696445570189693e-07
Debias_Lasso,300,50,13,2.0,-0.0058473946618444,0.10022475277763616,1.0828192340841565,3.407985094692564e-07
Debias_ElasticNet,300,50,13,2.0,-0.0058473946618444,0.10022475277763615,1.082819234084157,3.407985094692564e-07
Debias_Ridge,300,50,13,2.0,-0.0058473946618444,0.10310867550881334,1.164436461942865,5.723579221391162e-06
Imputed,300,50,14,2.0,-0.0058473946618444,0.08800374025742928,0.8794303853450142,5.710947315807973e-06
Classical,300,50,14,2.0,-0.0058473946618444,0.26824171672810965,1.4989385440001999,6.071208409635631e-06
PPI_lambda1,300,50,14,2.0,-0.0058473946618444,0.08982922226290076,0.7978447830019134,4.6679837312384774e-08
PPI_tuned,300,50,14,2.0,-0.0058473946618444,0.08982922226290076,0.7978447830019134,4.6679837312384774e-08
Debias_Lasso,300,50,14,2.0,-0.0058473946618444,0.08808547752151331,0.8839570644018059,1.5968263705039504e-06
Debias_ElasticNet,300,50,14,2.0,-0.0058473946618444,0.08808547752151331,0.8839570644018059,1.5968263705039504e-06
Debias_Ridge,300,50,14,2.0,-0.0058473946618444,0.09051303790206472,0.8339591789634677,1.73522343602092e-08
Imputed,300,50,15,2.0,-0.0058473946618444,0.08897869722317987,0.7602117131017161,9.761515409772691e-08
Classical,300,50,15,2.0,-0.0058473946618444,0.2535319177697122,1.5613640365595904,3.212950554174231e-05
PPI_lambda1,300,50,15,2.0,-0.0058473946618444,0.0900817257995121,0.7180125753700273,1.5931547155530469e-06
PPI_tuned,300,50,15,2.0,-0.0058473946618444,0.0900817257995121,0.7180125753700273,1.5931547155530469e-06
Debias_Lasso,300,50,15,2.0,-0.0058473946618444,0.07842109501058216,0.5413877461924977,5.534301060713147e-07
Debias_ElasticNet,300,50,15,2.0,-0.0058473946618444,0.07842109501058216,0.5413877461924977,5.534301060713147e-07
