method,p,n,N,trial,sigma,beta,theta,error,error_max,error_min
Imputed,1500,100,1500,4,5,0,0.000111319,0.26647474,2.718272019,4.06E-09
Classical,1500,100,1500,4,5,0,0.000111319,0.314456127,1.860470045,3.50E-06
PPI_lambda1,1500,100,1500,4,5,0,0.000111319,0.268635859,2.634314535,1.15E-07
PPI_tuned,1500,100,1500,4,5,0,0.000111319,0.268635859,2.634314535,1.15E-07
Debias_Lasso,1500,100,1500,4,5,0,0.000111319,0.266579738,2.7694855,4.43E-12
Debias_ElasticNet,1500,100,1500,4,5,0,0.000111319,0.266530927,2.7683083,2.18E-09
Debias_Ridge,1500,100,1500,4,5,0,0.000111319,0.268686865,2.724642468,2.27E-08
Imputed,1500,100,1500,5,5,0,0.000111319,0.231416507,3.21782618,4.42E-07
Classical,1500,100,1500,5,5,0,0.000111319,0.312589493,1.771001009,4.57E-07
PPI_lambda1,1500,100,1500,5,5,0,0.000111319,0.232943433,3.013971637,1.36E-07
PPI_tuned,1500,100,1500,5,5,0,0.000111319,0.232943433,3.013971637,1.36E-07
Debias_Lasso,1500,100,1500,5,5,0,0.000111319,0.235944921,3.13360135,2.02E-06
Debias_ElasticNet,1500,100,1500,5,5,0,0.000111319,0.23301118,3.135288923,1.07E-06
Debias_Ridge,1500,100,1500,5,5,0,0.000111319,0.232068179,3.005587198,1.55E-08
Imputed,1500,100,1500,6,5,0,0.000111319,0.234382316,2.869277926,1.10E-07
Classical,1500,100,1500,6,5,0,0.000111319,0.315908404,1.631562948,8.68E-07
PPI_lambda1,1500,100,1500,6,5,0,0.000111319,0.236061319,2.749493218,4.08E-07
PPI_tuned,1500,100,1500,6,5,0,0.000111319,0.236061319,2.749493218,4.08E-07
Debias_Lasso,1500,100,1500,6,5,0,0.000111319,0.234580797,2.86557445,3.15E-09
Debias_ElasticNet,1500,100,1500,6,5,0,0.000111319,0.234689887,2.873208956,4.70E-07
Debias_Ridge,1500,100,1500,6,5,0,0.000111319,0.2369148,2.798478311,2.94E-08
Imputed,1500,100,1500,7,5,0,0.000111319,0.289363514,3.479408605,3.78E-09
Classical,1500,100,1500,7,5,0,0.000111319,0.314216903,1.346415961,6.08E-07
PPI_lambda1,1500,100,1500,7,5,0,0.000111319,0.29045584,3.517930314,1.77E-06
PPI_tuned,1500,100,1500,7,5,0,0.000111319,0.29045584,3.517930314,1.77E-06
Debias_Lasso,1500,100,1500,7,5,0,0.000111319,0.289013006,3.345897876,1.67E-07
Debias_ElasticNet,1500,100,1500,7,5,0,0.000111319,0.289013006,3.345897876,1.67E-07
Debias_Ridge,1500,100,1500,7,5,0,0.000111319,0.289629483,3.420453958,2.27E-07
Imputed,1500,100,1500,8,5,0,0.000111319,0.24281241,2.93813706,2.37E-10
Classical,1500,100,1500,8,5,0,0.000111319,0.315191463,1.685464257,4.25E-09
PPI_lambda1,1500,100,1500,8,5,0,0.000111319,0.242815418,2.996729944,9.12E-08
PPI_tuned,1500,100,1500,8,5,0,0.000111319,0.242815418,2.996729944,9.12E-08
Debias_Lasso,1500,100,1500,8,5,0,0.000111319,0.24393568,3.305111518,2.15E-07
Debias_ElasticNet,1500,100,1500,8,5,0,0.000111319,0.24410209,3.315322633,1.86E-06
Debias_Ridge,1500,100,1500,8,5,0,0.000111319,0.243067985,3.268866399,5.29E-09
Imputed,1500,100,1500,9,5,0,0.000111319,0.232999373,4.497613392,5.20E-08
Classical,1500,100,1500,9,5,0,0.000111319,0.316109772,1.668198489,4.86E-11
PPI_lambda1,1500,100,1500,9,5,0,0.000111319,0.234896618,4.582955762,4.79E-07
PPI_tuned,1500,100,1500,9,5,0,0.000111319,0.234896618,4.582955762,4.79E-07
Debias_Lasso,1500,100,1500,9,5,0,0.000111319,0.233913532,4.582876594,4.45E-07
Debias_ElasticNet,1500,100,1500,9,5,0,0.000111319,0.233913532,4.582876594,4.45E-07
Debias_Ridge,1500,100,1500,9,5,0,0.000111319,0.236183772,4.661520111,1.56E-10
Imputed,1500,500,1500,0,5,0,0.000111319,0.141926214,1.716181376,1.77E-07
Classical,1500,500,1500,0,5,0,0.000111319,0.228218126,2.190725516,6.25E-07
PPI_lambda1,1500,500,1500,0,5,0,0.000111319,0.147621293,1.68645853,4.53E-10
PPI_tuned,1500,500,1500,0,5,0,0.000111319,0.147621293,1.68645853,4.53E-10
Debias_Lasso,1500,500,1500,0,5,0,0.000111319,0.141947166,1.708483126,1.02E-08
Debias_ElasticNet,1500,500,1500,0,5,0,0.000111319,0.141934255,1.712494333,1.43E-10
Debias_Ridge,1500,500,1500,0,5,0,0.000111319,0.146950987,1.83730683,1.89E-08
Imputed,1500,500,1500,1,5,0,0.000111319,0.146461176,2.030196923,7.26E-07
Classical,1500,500,1500,1,5,0,0.000111319,0.232829193,1.827461589,1.21E-06
PPI_lambda1,1500,500,1500,1,5,0,0.000111319,0.154002857,1.948201206,8.42E-08
PPI_tuned,1500,500,1500,1,5,0,0.000111319,0.154002857,1.948201206,8.42E-08
Debias_Lasso,1500,500,1500,1,5,0,0.000111319,0.146956854,2.057880135,1.59E-09
Debias_ElasticNet,1500,500,1500,1,5,0,0.000111319,0.147077241,2.072311448,5.98E-08
Debias_Ridge,1500,500,1500,1,5,0,0.000111319,0.152003191,2.079220171,3.48E-08
Imputed,1500,500,1500,2,5,0,0.000111319,0.150796917,1.777566453,4.67E-08
Classical,1500,500,1500,2,5,0,0.000111319,0.222117685,1.758180231,1.25E-06
PPI_lambda1,1500,500,1500,2,5,0,0.000111319,0.159586494,2.140851118,9.73E-07
PPI_tuned,1500,500,1500,2,5,0,0.000111319,0.159586494,2.140851118,9.73E-07
Debias_Lasso,1500,500,1500,2,5,0,0.000111319,0.150948232,1.776546364,8.95E-10
Debias_ElasticNet,1500,500,1500,2,5,0,0.000111319,0.150980845,1.782387993,2.38E-07
Debias_Ridge,1500,500,1500,2,5,0,0.000111319,0.15562114,1.834176193,1.28E-08
Imputed,1500,500,1500,3,5,0,0.000111319,0.155224373,2.463688358,4.49E-08
Classical,1500,500,1500,3,5,0,0.000111319,0.217449351,2.269599861,1.35E-07
PPI_lambda1,1500,500,1500,3,5,0,0.000111319,0.159926922,2.245386983,1.72E-07
PPI_tuned,1500,500,1500,3,5,0,0.000111319,0.159926922,2.245386983,1.72E-07
Debias_Lasso,1500,500,1500,3,5,0,0.000111319,0.155162159,2.475234052,1.15E-07
Debias_ElasticNet,1500,500,1500,3,5,0,0.000111319,0.155162159,2.475234052,1.15E-07
Debias_Ridge,1500,500,1500,3,5,0,0.000111319,0.159330014,2.493747659,1.50E-08
Imputed,1500,500,1500,4,5,0,0.000111319,0.152444799,1.684236852,3.61E-07
Classical,1500,500,1500,4,5,0,0.000111319,0.21631223,1.992732765,5.94E-07
PPI_lambda1,1500,500,1500,4,5,0,0.000111319,0.159649741,1.954115128,1.14E-07
PPI_tuned,1500,500,1500,4,5,0,0.000111319,0.159649741,1.954115128,1.14E-07
Debias_Lasso,1500,500,1500,4,5,0,0.000111319,0.152439253,1.6847755,2.73E-08
Debias_ElasticNet,1500,500,1500,4,5,0,0.000111319,0.152439253,1.6847755,2.73E-08
Debias_Ridge,1500,500,1500,4,5,0,0.000111319,0.15587166,1.710233594,3.16E-09
Imputed,1500,500,1500,5,5,0,0.000111319,0.149760959,1.804358821,3.03E-08
Classical,1500,500,1500,5,5,0,0.000111319,0.217045697,2.004503535,1.73E-08
PPI_lambda1,1500,500,1500,5,5,0,0.000111319,0.156510387,1.819162323,6.16E-09
PPI_tuned,1500,500,1500,5,5,0,0.000111319,0.156510387,1.819162323,6.16E-09
Debias_Lasso,1500,500,1500,5,5,0,0.000111319,0.150075814,1.769822191,2.90E-08
Debias_ElasticNet,1500,500,1500,5,5,0,0.000111319,0.150075814,1.769822191,2.90E-08
Debias_Ridge,1500,500,1500,5,5,0,0.000111319,0.154924881,1.943097787,2.04E-09
Imputed,1500,500,1500,6,5,0,0.000111319,0.148036252,2.193592365,5.18E-07
Classical,1500,500,1500,6,5,0,0.000111319,0.22461184,1.861169332,3.35E-07
PPI_lambda1,1500,500,1500,6,5,0,0.000111319,0.154807828,1.960691189,5.10E-08
PPI_tuned,1500,500,1500,6,5,0,0.000111319,0.154807828,1.960691189,5.10E-08
Debias_Lasso,1500,500,1500,6,5,0,0.000111319,0.148193032,2.154929589,1.33E-08
Debias_ElasticNet,1500,500,1500,6,5,0,0.000111319,0.148193032,2.154929589,1.33E-08
Debias_Ridge,1500,500,1500,6,5,0,0.000111319,0.152475995,1.897248988,1.61E-07
Imputed,1500,500,1500,7,5,0,0.000111319,0.149371211,1.448128661,4.50E-07
Classical,1500,500,1500,7,5,0,0.000111319,0.218448867,1.621547751,9.14E-10
PPI_lambda1,1500,500,1500,7,5,0,0.000111319,0.156716943,1.623575506,6.56E-08
PPI_tuned,1500,500,1500,7,5,0,0.000111319,0.156716943,1.623575506,6.56E-08
Debias_Lasso,1500,500,1500,7,5,0,0.000111319,0.149346465,1.444108857,8.38E-08
Debias_ElasticNet,1500,500,1500,7,5,0,0.000111319,0.149346465,1.444108857,8.38E-08
Debias_Ridge,1500,500,1500,7,5,0,0.000111319,0.153774929,1.662441535,2.25E-07
Imputed,1500,500,1500,8,5,0,0.000111319,0.152123406,2.037855812,7.32E-08
Classical,1500,500,1500,8,5,0,0.000111319,0.221008662,2.225386804,1.58E-07
PPI_lambda1,1500,500,1500,8,5,0,0.000111319,0.158310932,1.956335769,1.34E-08
PPI_tuned,1500,500,1500,8,5,0,0.000111319,0.158310932,1.956335769,1.34E-08
Debias_Lasso,1500,500,1500,8,5,0,0.000111319,0.152159348,2.033991584,1.63E-08
Debias_ElasticNet,1500,500,1500,8,5,0,0.000111319,0.152159348,2.033991584,1.63E-08
Debias_Ridge,1500,500,1500,8,5,0,0.000111319,0.156357582,2.119237637,3.84E-08
Imputed,1500,500,1500,9,5,0,0.000111319,0.14958252,1.466812999,1.75E-06
Classical,1500,500,1500,9,5,0,0.000111319,0.220116514,1.566146151,3.44E-07
PPI_lambda1,1500,500,1500,9,5,0,0.000111319,0.156748433,1.640574507,3.37E-10
PPI_tuned,1500,500,1500,9,5,0,0.000111319,0.156748433,1.640574507,3.37E-10
Debias_Lasso,1500,500,1500,9,5,0,0.000111319,0.149489044,1.486477103,1.82E-07
Debias_ElasticNet,1500,500,1500,9,5,0,0.000111319,0.149507925,1.481614044,1.78E-08
Debias_Ridge,1500,500,1500,9,5,0,0.000111319,0.154322441,1.887918425,4.30E-09
Imputed,2000,50,1500,0,5,0,0.005961079,0.119415817,2.416053028,9.42E-10
Classical,2000,50,1500,0,5,0,0.005961079,0.319525809,1.358253339,9.30E-07
PPI_lambda1,2000,50,1500,0,5,0,0.005961079,0.119868343,2.536527678,9.65E-09
PPI_tuned,2000,50,1500,0,5,0,0.005961079,0.119868343,2.536527678,9.65E-09
Debias_Lasso,2000,50,1500,0,5,0,0.005961079,0.118800149,2.471426224,7.73E-10
Debias_ElasticNet,2000,50,1500,0,5,0,0.005961079,0.118800149,2.471426224,7.73E-10
Debias_Ridge,2000,50,1500,0,5,0,0.005961079,0.119036892,2.5029488,1.27E-06
Imputed,2000,50,1500,1,5,0,0.005961079,0.119334778,1.648162042,3.40E-08
Classical,2000,50,1500,1,5,0,0.005961079,0.322059458,1.278382103,6.79E-09
PPI_lambda1,2000,50,1500,1,5,0,0.005961079,0.119160728,1.648492393,1.60E-08
PPI_tuned,2000,50,1500,1,5,0,0.005961079,0.322059458,1.278382103,6.79E-09
Debias_Lasso,2000,50,1500,1,5,0,0.005961079,0.119910869,1.618847704,2.78E-09
Debias_ElasticNet,2000,50,1500,1,5,0,0.005961079,0.120081012,1.60733962,1.12E-07
Debias_Ridge,2000,50,1500,1,5,0,0.005961079,0.119952859,1.668204689,9.69E-08
Imputed,2000,50,1500,2,5,0,0.005961079,0.122192514,1.690376027,8.23E-08
Classical,2000,50,1500,2,5,0,0.005961079,0.319555562,1.357549272,1.93E-08
PPI_lambda1,2000,50,1500,2,5,0,0.005961079,0.122905403,1.697857983,2.03E-09
PPI_tuned,2000,50,1500,2,5,0,0.005961079,0.319555562,1.357549272,1.93E-08
Debias_Lasso,2000,50,1500,2,5,0,0.005961079,0.123155609,1.662862415,4.71E-08
Debias_ElasticNet,2000,50,1500,2,5,0,0.005961079,0.123155609,1.662862415,4.71E-08
Debias_Ridge,2000,50,1500,2,5,0,0.005961079,0.123556009,1.678241878,4.73E-08
Imputed,2000,50,1500,3,5,0,0.005961079,0.122542238,1.456633598,1.12E-09
Classical,2000,50,1500,3,5,0,0.005961079,0.320480279,1.337078134,4.65E-07
PPI_lambda1,2000,50,1500,3,5,0,0.005961079,0.122766983,1.486545045,1.07E-07
PPI_tuned,2000,50,1500,3,5,0,0.005961079,0.122766983,1.486545045,1.07E-07
Debias_Lasso,2000,50,1500,3,5,0,0.005961079,0.121641977,1.511502121,2.17E-07
Debias_ElasticNet,2000,50,1500,3,5,0,0.005961079,0.12167727,1.505437093,2.21E-06
Debias_Ridge,2000,50,1500,3,5,0,0.005961079,0.121745047,1.568333275,6.67E-09
Imputed,2000,50,1500,4,5,0,0.005961079,0.12069738,1.49457156,3.07E-08
Classical,2000,50,1500,4,5,0,0.005961079,0.32192317,1.464521547,5.63E-08
PPI_lambda1,2000,50,1500,4,5,0,0.005961079,0.120895922,1.418444958,2.10E-08
PPI_tuned,2000,50,1500,4,5,0,0.005961079,0.120895922,1.418444958,2.10E-08
Debias_Lasso,2000,50,1500,4,5,0,0.005961079,0.120067673,1.54562446,4.01E-10
Debias_ElasticNet,2000,50,1500,4,5,0,0.005961079,0.120067673,1.54562446,4.01E-10
Debias_Ridge,2000,50,1500,4,5,0,0.005961079,0.120300248,1.510239258,1.13E-09
Imputed,2000,50,1500,5,5,0,0.005961079,0.120837393,1.778852506,5.05E-09
Classical,2000,50,1500,5,5,0,0.005961079,0.320792326,1.395579125,6.30E-09
PPI_lambda1,2000,50,1500,5,5,0,0.005961079,0.121411774,1.801236718,1.40E-08
PPI_tuned,2000,50,1500,5,5,0,0.005961079,0.320792326,1.395579125,6.30E-09
Debias_Lasso,2000,50,1500,5,5,0,0.005961079,0.121732013,1.897445244,2.10E-08
Debias_ElasticNet,2000,50,1500,5,5,0,0.005961079,0.121732013,1.897445244,2.10E-08
Debias_Ridge,2000,50,1500,5,5,0,0.005961079,0.121958185,1.955999735,3.14E-08
Imputed,2000,50,1500,6,5,0,0.005961079,0.12223651,2.083643696,1.16E-07
Classical,2000,50,1500,6,5,0,0.005961079,0.321180703,1.534007587,5.18E-10
PPI_lambda1,2000,50,1500,6,5,0,0.005961079,0.122604869,2.099610954,4.32E-10
PPI_tuned,2000,50,1500,6,5,0,0.005961079,0.122604869,2.099610954,4.32E-10
Debias_Lasso,2000,50,1500,6,5,0,0.005961079,0.125173531,2.159948091,2.49E-08
Debias_ElasticNet,2000,50,1500,6,5,0,0.005961079,0.124577405,2.137252719,1.61E-13
Debias_Ridge,2000,50,1500,6,5,0,0.005961079,0.123322948,2.123745315,1.08E-08
Imputed,2000,50,1500,7,5,0,0.005961079,0.122144006,1.750578258,4.39E-08
Classical,2000,50,1500,7,5,0,0.005961079,0.321643095,1.384829644,1.67E-06
PPI_lambda1,2000,50,1500,7,5,0,0.005961079,0.122317063,1.772869831,8.73E-09
PPI_tuned,2000,50,1500,7,5,0,0.005961079,0.321643095,1.384829644,1.67E-06
Debias_Lasso,2000,50,1500,7,5,0,0.005961079,0.125021387,1.839413938,1.77E-10
Debias_ElasticNet,2000,50,1500,7,5,0,0.005961079,0.125021387,1.839413938,1.77E-10
Debias_Ridge,2000,50,1500,7,5,0,0.005961079,0.124923748,1.8725306,6.78E-08
Imputed,2000,50,1500,8,5,0,0.005961079,0.121993772,1.776965623,6.95E-08
Classical,2000,50,1500,8,5,0,0.005961079,0.318281264,1.627163532,9.77E-08
PPI_lambda1,2000,50,1500,8,5,0,0.005961079,0.122716486,1.835360226,3.04E-07
PPI_tuned,2000,50,1500,8,5,0,0.005961079,0.318281264,1.627163532,9.77E-08
Debias_Lasso,2000,50,1500,8,5,0,0.005961079,0.12116805,1.812249369,1.01E-08
Debias_ElasticNet,2000,50,1500,8,5,0,0.005961079,0.12116805,1.812249369,1.01E-08
Debias_Ridge,2000,50,1500,8,5,0,0.005961079,0.12119634,1.907461883,5.15E-09
Imputed,2000,50,1500,9,5,0,0.005961079,0.121344572,2.042647753,4.27E-07
Classical,2000,50,1500,9,5,0,0.005961079,0.321137751,1.394352415,3.45E-08
PPI_lambda1,2000,50,1500,9,5,0,0.005961079,0.121104285,2.076913781,3.56E-09
PPI_tuned,2000,50,1500,9,5,0,0.005961079,0.321137751,1.394352415,3.45E-08
Debias_Lasso,2000,50,1500,9,5,0,0.005961079,0.121698301,2.202350209,1.89E-08
Debias_ElasticNet,2000,50,1500,9,5,0,0.005961079,0.121698301,2.202350209,1.89E-08
Debias_Ridge,2000,50,1500,9,5,0,0.005961079,0.121710056,2.197497586,3.18E-08
Imputed,2000,100,1500,0,5,0,0.005961079,0.123406017,1.501711004,1.86E-07
Classical,2000,100,1500,0,5,0,0.005961079,0.311526662,1.504146933,2.06E-06
PPI_lambda1,2000,100,1500,0,5,0,0.005961079,0.124607097,1.464530577,1.40E-08
PPI_tuned,2000,100,1500,0,5,0,0.005961079,0.311526662,1.504146933,2.06E-06
Debias_Lasso,2000,100,1500,0,5,0,0.005961079,0.123061645,1.500297737,9.69E-10
Debias_ElasticNet,2000,100,1500,0,5,0,0.005961079,0.123061645,1.500297737,9.69E-10
Debias_Ridge,2000,100,1500,0,5,0,0.005961079,0.123659416,1.461809513,6.95E-09
Imputed,2000,100,1500,1,5,0,0.005961079,0.125570882,1.810474039,1.64E-08
Classical,2000,100,1500,1,5,0,0.005961079,0.313257695,1.490421136,1.59E-08
PPI_lambda1,2000,100,1500,1,5,0,0.005961079,0.126359808,1.790174868,8.87E-09
PPI_tuned,2000,100,1500,1,5,0,0.005961079,0.126359808,1.790174868,8.87E-09
Debias_Lasso,2000,100,1500,1,5,0,0.005961079,0.128845999,1.790878513,2.34E-08
Debias_ElasticNet,2000,100,1500,1,5,0,0.005961079,0.128605887,1.799254905,3.19E-09
Debias_Ridge,2000,100,1500,1,5,0,0.005961079,0.129214917,1.760484607,1.65E-10
Imputed,2000,100,1500,2,5,0,0.005961079,0.127314008,1.824884484,5.30E-07
Classical,2000,100,1500,2,5,0,0.005961079,0.312057951,1.864465347,3.46E-06
PPI_lambda1,2000,100,1500,2,5,0,0.005961079,0.127932237,1.754014881,2.48E-08
PPI_tuned,2000,100,1500,2,5,0,0.005961079,0.157219902,1.117358442,1.22E-06
Debias_Lasso,2000,100,1500,2,5,0,0.005961079,0.127164979,1.838022006,1.56E-07
Debias_ElasticNet,2000,100,1500,2,5,0,0.005961079,0.127137377,1.845520385,7.10E-07
Debias_Ridge,2000,100,1500,2,5,0,0.005961079,0.127345633,1.767280329,1.40E-06
Imputed,2000,100,1500,3,5,0,0.005961079,0.126823242,1.770281534,1.29E-07
Classical,2000,100,1500,3,5,0,0.005961079,0.311530528,1.774659112,4.71E-08
PPI_lambda1,2000,100,1500,3,5,0,0.005961079,0.126849573,1.740479428,3.19E-08
PPI_tuned,2000,100,1500,3,5,0,0.005961079,0.126849573,1.740479428,3.19E-08
Debias_Lasso,2000,100,1500,3,5,0,0.005961079,0.12630074,1.796263365,3.40E-08
Debias_ElasticNet,2000,100,1500,3,5,0,0.005961079,0.12630074,1.796263365,3.40E-08
Debias_Ridge,2000,100,1500,3,5,0,0.005961079,0.127189673,1.750289612,2.49E-09
Imputed,2000,100,1500,4,5,0,0.005961079,0.12753435,1.647566856,9.56E-08
Classical,2000,100,1500,4,5,0,0.005961079,0.311520133,1.818539871,1.79E-06
PPI_lambda1,2000,100,1500,4,5,0,0.005961079,0.128676921,1.607333268,1.06E-07
PPI_tuned,2000,100,1500,4,5,0,0.005961079,0.311520133,1.818539871,1.79E-06
Debias_Lasso,2000,100,1500,4,5,0,0.005961079,0.126750244,1.712341535,1.64E-09
Debias_ElasticNet,2000,100,1500,4,5,0,0.005961079,0.126750244,1.712341535,1.64E-09
Debias_Ridge,2000,100,1500,4,5,0,0.005961079,0.127090251,1.703099108,4.52E-09
Imputed,2000,100,1500,5,5,0,0.005961079,0.126026923,2.308113263,3.90E-07
Classical,2000,100,1500,5,5,0,0.005961079,0.310641574,1.451104428,6.37E-09
PPI_lambda1,2000,100,1500,5,5,0,0.005961079,0.126246016,2.412052422,1.33E-08
PPI_tuned,2000,100,1500,5,5,0,0.005961079,0.310641574,1.451104428,6.37E-09
Debias_Lasso,2000,100,1500,5,5,0,0.005961079,0.125642369,2.416731734,1.20E-06
Debias_ElasticNet,2000,100,1500,5,5,0,0.005961079,0.12552375,2.397911984,3.59E-07
Debias_Ridge,2000,100,1500,5,5,0,0.005961079,0.126147784,2.515721792,4.52E-09
Imputed,2000,100,1500,6,5,0,0.005961079,0.123521359,1.468097199,4.07E-10
Classical,2000,100,1500,6,5,0,0.005961079,0.311298601,1.58684995,5.71E-07
PPI_lambda1,2000,100,1500,6,5,0,0.005961079,0.124059852,1.500840717,4.71E-07
PPI_tuned,2000,100,1500,6,5,0,0.005961079,0.311298601,1.58684995,5.71E-07
Debias_Lasso,2000,100,1500,6,5,0,0.005961079,0.123178548,1.466954549,1.17E-08
Debias_ElasticNet,2000,100,1500,6,5,0,0.005961079,0.123178548,1.466954549,1.17E-08
Debias_Ridge,2000,100,1500,6,5,0,0.005961079,0.123668249,1.446740258,2.73E-07
Imputed,2000,100,1500,7,5,0,0.005961079,0.124242017,1.691791714,1.39E-07
Classical,2000,100,1500,7,5,0,0.005961079,0.308020022,1.514513927,2.01E-07
PPI_lambda1,2000,100,1500,7,5,0,0.005961079,0.124374505,1.671882021,4.17E-10
PPI_tuned,2000,100,1500,7,5,0,0.005961079,0.308020022,1.514513927,2.01E-07
Debias_Lasso,2000,100,1500,7,5,0,0.005961079,0.125766911,1.764132809,3.11E-07
Debias_ElasticNet,2000,100,1500,7,5,0,0.005961079,0.124629528,1.675883646,2.14E-07
Debias_Ridge,2000,100,1500,7,5,0,0.005961079,0.124787906,1.666086506,5.93E-12
Imputed,2000,100,1500,8,5,0,0.005961079,0.123566508,1.604867963,1.01E-08
Classical,2000,100,1500,8,5,0,0.005961079,0.312957757,1.516597518,2.97E-08
PPI_lambda1,2000,100,1500,8,5,0,0.005961079,0.124050887,1.616600006,5.35E-12
PPI_tuned,2000,100,1500,8,5,0,0.005961079,0.125757898,1.328408971,2.42E-09
Debias_Lasso,2000,100,1500,8,5,0,0.005961079,0.123140347,1.595017956,1.82E-07
Debias_ElasticNet,2000,100,1500,8,5,0,0.005961079,0.123534472,1.584745084,1.46E-07
Debias_Ridge,2000,100,1500,8,5,0,0.005961079,0.123562922,1.567253799,2.24E-08
Imputed,2000,100,1500,9,5,0,0.005961079,0.124728437,1.576863993,1.63E-08
Classical,2000,100,1500,9,5,0,0.005961079,0.311477096,1.750416988,4.70E-10
PPI_lambda1,2000,100,1500,9,5,0,0.005961079,0.125863774,1.620556386,3.41E-08
PPI_tuned,2000,100,1500,9,5,0,0.005961079,0.311477096,1.750416988,4.70E-10
Debias_Lasso,2000,100,1500,9,5,0,0.005961079,0.125133508,1.566412836,1.80E-07
Debias_ElasticNet,2000,100,1500,9,5,0,0.005961079,0.125133508,1.566412836,1.80E-07
Debias_Ridge,2000,100,1500,9,5,0,0.005961079,0.125207995,1.614871249,1.58E-09
Imputed,2000,500,1500,0,5,0,0.005961079,0.17035488,2.229994696,4.71E-10
Classical,2000,500,1500,0,5,0,0.005961079,0.239354137,2.312168292,4.16E-08
PPI_lambda1,2000,500,1500,0,5,0,0.005961079,0.173384613,2.179739114,6.83E-09
PPI_tuned,2000,500,1500,0,5,0,0.005961079,0.239354137,2.312168292,4.16E-08
Debias_Lasso,2000,500,1500,0,5,0,0.005961079,0.17033443,2.227944952,4.10E-08
Debias_ElasticNet,2000,500,1500,0,5,0,0.005961079,0.17033443,2.227944952,4.10E-08
Debias_Ridge,2000,500,1500,0,5,0,0.005961079,0.172327895,2.053878824,4.35E-07
Imputed,2000,500,1500,1,5,0,0.005961079,0.182029202,1.76601065,1.27E-07
Classical,2000,500,1500,1,5,0,0.005961079,0.233565979,1.905008128,2.27E-08
PPI_lambda1,2000,500,1500,1,5,0,0.005961079,0.187595164,1.953640467,5.30E-07
PPI_tuned,2000,500,1500,1,5,0,0.005961079,0.233565979,1.905008128,2.27E-08
Debias_Lasso,2000,500,1500,1,5,0,0.005961079,0.181990511,1.774985016,5.98E-08
Debias_ElasticNet,2000,500,1500,1,5,0,0.005961079,0.181990511,1.774985016,5.98E-08
Debias_Ridge,2000,500,1500,1,5,0,0.005961079,0.184321205,1.871745733,1.63E-08
Imputed,2000,500,1500,2,5,0,0.005961079,0.167897867,2.012548571,3.15E-08
Classical,2000,500,1500,2,5,0,0.005961079,0.247896926,2.128083322,8.14E-08
PPI_lambda1,2000,500,1500,2,5,0,0.005961079,0.173595122,1.986375624,1.40E-08
PPI_tuned,2000,500,1500,2,5,0,0.005961079,0.23986881,2.004022005,2.04E-07
Debias_Lasso,2000,500,1500,2,5,0,0.005961079,0.167860559,2.02362758,3.13E-07
Debias_ElasticNet,2000,500,1500,2,5,0,0.005961079,0.167860559,2.02362758,3.13E-07
Debias_Ridge,2000,500,1500,2,5,0,0.005961079,0.169982885,1.955744576,2.25E-08
Imputed,2000,500,1500,3,5,0,0.005961079,0.177234774,2.119098236,2.99E-07
Classical,2000,500,1500,3,5,0,0.005961079,0.236609849,2.132690545,8.05E-07
PPI_lambda1,2000,500,1500,3,5,0,0.005961079,0.181744486,2.046830141,2.48E-08
PPI_tuned,2000,500,1500,3,5,0,0.005961079,0.236609849,2.132690545,8.05E-07
Debias_Lasso,2000,500,1500,3,5,0,0.005961079,0.177195581,2.113397925,4.00E-08
Debias_ElasticNet,2000,500,1500,3,5,0,0.005961079,0.177195581,2.113397925,4.00E-08
Debias_Ridge,2000,500,1500,3,5,0,0.005961079,0.179409289,2.152580868,3.04E-08
Imputed,2000,500,1500,4,5,0,0.005961079,0.168749372,1.948420871,1.05E-07
Classical,2000,500,1500,4,5,0,0.005961079,0.244798894,2.518897226,1.56E-07
PPI_lambda1,2000,500,1500,4,5,0,0.005961079,0.172775982,2.056789422,1.67E-08
PPI_tuned,2000,500,1500,4,5,0,0.005961079,0.170704503,1.450856743,1.67E-07
Debias_Lasso,2000,500,1500,4,5,0,0.005961079,0.168749332,1.946531222,6.66E-07
Debias_ElasticNet,2000,500,1500,4,5,0,0.005961079,0.168748378,1.944287162,1.65E-06
Debias_Ridge,2000,500,1500,4,5,0,0.005961079,0.170610102,1.914294503,6.65E-08
Imputed,2000,500,1500,5,5,0,0.005961079,0.175173862,2.026041152,6.62E-11
Classical,2000,500,1500,5,5,0,0.005961079,0.240337852,2.662350512,1.02E-07
PPI_lambda1,2000,500,1500,5,5,0,0.005961079,0.179480536,2.164769657,1.89E-07
PPI_tuned,2000,500,1500,5,5,0,0.005961079,0.179480536,2.164769657,1.89E-07
Debias_Lasso,2000,500,1500,5,5,0,0.005961079,0.1751177,2.026906189,9.19E-11
Debias_ElasticNet,2000,500,1500,5,5,0,0.005961079,0.1751177,2.026906189,9.19E-11
Debias_Ridge,2000,500,1500,5,5,0,0.005961079,0.176950763,1.901901717,4.53E-09
Imputed,2000,500,1500,6,5,0,0.005961079,0.167342002,1.790168309,3.45E-08
Classical,2000,500,1500,6,5,0,0.005961079,0.243381639,2.143575461,1.58E-07
PPI_lambda1,2000,500,1500,6,5,0,0.005961079,0.170310426,1.855072604,4.95E-10
PPI_tuned,2000,500,1500,6,5,0,0.005961079,0.243381639,2.143575461,1.58E-07
