method,p,n,N,trial,sigma,beta,theta,error,error_max,error_min
Imputed,2,50,1500,23,0.01,0,-0.482903564,0.000232038,0.000270627,0.000193449
Classical,2,50,1500,23,0.01,0,-0.482903564,0.046330481,0.086278819,0.006382143
PPI_lambda1,2,50,1500,23,0.01,0,-0.482903564,0.00019319,0.00020618,0.0001802
PPI_tuned,2,50,1500,23,0.01,0,-0.482903564,0.000132071,0.000237237,2.69E-05
Debias_Lasso,2,50,1500,23,0.01,0,-0.482903564,0.000232006,0.000270746,0.000193265
Debias_ElasticNet,2,50,1500,23,0.01,0,-0.482903564,0.000232006,0.000270746,0.000193265
Debias_Ridge,2,50,1500,23,0.01,0,-0.482903564,0.000198922,0.000215994,0.00018185
Imputed,2,50,1500,24,0.01,0,-0.482903564,5.08E-05,8.14E-05,2.01E-05
Classical,2,50,1500,24,0.01,0,-0.482903564,0.020343304,0.040415448,0.00027116
PPI_lambda1,2,50,1500,24,0.01,0,-0.482903564,3.85E-05,6.19E-05,1.50E-05
PPI_tuned,2,50,1500,24,0.01,0,-0.482903564,0.000172011,0.000336323,7.70E-06
Debias_Lasso,2,50,1500,24,0.01,0,-0.482903564,5.06E-05,8.08E-05,2.05E-05
Debias_ElasticNet,2,50,1500,24,0.01,0,-0.482903564,5.06E-05,8.08E-05,2.05E-05
Debias_Ridge,2,50,1500,24,0.01,0,-0.482903564,4.11E-05,6.21E-05,2.02E-05
Imputed,2,50,1500,25,0.01,0,-0.482903564,8.18E-05,0.00014344,2.01E-05
Classical,2,50,1500,25,0.01,0,-0.482903564,0.012387647,0.018160081,0.006615214
PPI_lambda1,2,50,1500,25,0.01,0,-0.482903564,0.0001067,0.000191179,2.22E-05
PPI_tuned,2,50,1500,25,0.01,0,-0.482903564,0.002108873,0.003205072,0.001012673
Debias_Lasso,2,50,1500,25,0.01,0,-0.482903564,8.16E-05,0.000142934,2.02E-05
Debias_ElasticNet,2,50,1500,25,0.01,0,-0.482903564,8.16E-05,0.000142934,2.02E-05
Debias_Ridge,2,50,1500,25,0.01,0,-0.482903564,0.000101285,0.000181995,2.06E-05
Imputed,2,50,1500,26,0.01,0,-0.482903564,9.73E-05,0.00016401,3.05E-05
Classical,2,50,1500,26,0.01,0,-0.482903564,0.002731069,0.004647726,0.000814411
PPI_lambda1,2,50,1500,26,0.01,0,-0.482903564,8.92E-05,0.000146349,3.20E-05
PPI_tuned,2,50,1500,26,0.01,0,-0.482903564,8.92E-05,0.000146349,3.20E-05
